Year,Geography,Sexe,Age group,Value
2018,Prince Edward Island,Les deux sexes,45 to 49 years,8.1
2019,Prince Edward Island,Les deux sexes,45 to 49 years,8.2
2020,Prince Edward Island,Les deux sexes,45 to 49 years,8.3
2015,Prince Edward Island,Les deux sexes,50 to 54 years,8.3
2016,Prince Edward Island,Les deux sexes,50 to 54 years,9.4
2017,Prince Edward Island,Les deux sexes,50 to 54 years,7.1
2018,Prince Edward Island,Les deux sexes,50 to 54 years,8.2
2019,Prince Edward Island,Les deux sexes,50 to 54 years,8.5
2020,Prince Edward Island,Les deux sexes,50 to 54 years,8.2
2015,Prince Edward Island,Les deux sexes,55 to 59 years,10.2
2016,Prince Edward Island,Les deux sexes,55 to 59 years,11.5
2017,Prince Edward Island,Les deux sexes,55 to 59 years,9.3
2018,Prince Edward Island,Les deux sexes,55 to 59 years,8.6
2019,Prince Edward Island,Les deux sexes,55 to 59 years,8.7
2020,Prince Edward Island,Les deux sexes,55 to 59 years,7.9
2015,Prince Edward Island,Les deux sexes,60 to 64 years,13.8
2016,Prince Edward Island,Les deux sexes,60 to 64 years,14.8
2017,Prince Edward Island,Les deux sexes,60 to 64 years,11.3
2018,Prince Edward Island,Les deux sexes,60 to 64 years,13.2
2019,Prince Edward Island,Les deux sexes,60 to 64 years,12.7
2020,Prince Edward Island,Les deux sexes,60 to 64 years,10.4
2015,Prince Edward Island,Les deux sexes,65 years and over,11.1
2016,Prince Edward Island,Les deux sexes,65 years and over,13.3
2017,Prince Edward Island,Les deux sexes,65 years and over,10.0
2018,Prince Edward Island,Les deux sexes,65 years and over,9.4
2019,Prince Edward Island,Les deux sexes,65 years and over,9.4
2020,Prince Edward Island,Les deux sexes,65 years and over,10.7
2015,Prince Edward Island,Les deux sexes,65 to 69 years,13.3
2016,Prince Edward Island,Les deux sexes,65 to 69 years,14.3
2017,Prince Edward Island,Les deux sexes,65 to 69 years,12.9
2018,Prince Edward Island,Les deux sexes,65 to 69 years,12.5
2019,Prince Edward Island,Les deux sexes,65 to 69 years,12.1
2020,Prince Edward Island,Les deux sexes,65 to 69 years,12.1
2015,Prince Edward Island,Les deux sexes,70 years and over,
2016,Prince Edward Island,Les deux sexes,70 years and over,
2017,Prince Edward Island,Les deux sexes,70 years and over,
2018,Prince Edward Island,Les deux sexes,70 years and over,
2019,Prince Edward Island,Les deux sexes,70 years and over,
2020,Prince Edward Island,Les deux sexes,70 years and over,
2015,Prince Edward Island,Hommes,15 years and over,12.0
2016,Prince Edward Island,Hommes,15 years and over,12.7
2017,Prince Edward Island,Hommes,15 years and over,11.5
2018,Prince Edward Island,Hommes,15 years and over,10.5
2019,Prince Edward Island,Hommes,15 years and over,10.6
2020,Prince Edward Island,Hommes,15 years and over,10.4
2015,Prince Edward Island,Hommes,15 to 24 years,20.6
2016,Prince Edward Island,Hommes,15 to 24 years,17.7
2017,Prince Edward Island,Hommes,15 to 24 years,15.9
2018,Prince Edward Island,Hommes,15 to 24 years,16.4
2019,Prince Edward Island,Hommes,15 to 24 years,13.3
2020,Prince Edward Island,Hommes,15 to 24 years,16.9
2015,Prince Edward Island,Hommes,25 years and over,10.2
2016,Prince Edward Island,Hommes,25 years and over,11.8
2017,Prince Edward Island,Hommes,25 years and over,10.8
2018,Prince Edward Island,Hommes,25 years and over,9.7
2019,Prince Edward Island,Hommes,25 years and over,10.1
2020,Prince Edward Island,Hommes,25 years and over,9.1
2015,Prince Edward Island,Hommes,25 to 44 years,11.3
2016,Prince Edward Island,Hommes,25 to 44 years,10.1
2017,Prince Edward Island,Hommes,25 to 44 years,10.8
2018,Prince Edward Island,Hommes,25 to 44 years,9.2
2019,Prince Edward Island,Hommes,25 to 44 years,8.9
2020,Prince Edward Island,Hommes,25 to 44 years,9.6
2015,Prince Edward Island,Hommes,45 to 64 years,9.3
2016,Prince Edward Island,Hommes,45 to 64 years,12.4
2017,Prince Edward Island,Hommes,45 to 64 years,10.5
2018,Prince Edward Island,Hommes,45 to 64 years,10.2
2019,Prince Edward Island,Hommes,45 to 64 years,10.9
2020,Prince Edward Island,Hommes,45 to 64 years,8.9
2015,Prince Edward Island,Hommes,45 years and over,10.0
2016,Prince Edward Island,Hommes,45 years and over,13.1
2017,Prince Edward Island,Hommes,45 years and over,10.8
2018,Prince Edward Island,Hommes,45 years and over,10.0
2019,Prince Edward Island,Hommes,45 years and over,11.0
2020,Prince Edward Island,Hommes,45 years and over,8.7
2015,Prince Edward Island,Hommes,25 to 54 years,9.7
2016,Prince Edward Island,Hommes,25 to 54 years,10.4
2017,Prince Edward Island,Hommes,25 to 54 years,10.4
2018,Prince Edward Island,Hommes,25 to 54 years,8.9
2019,Prince Edward Island,Hommes,25 to 54 years,9.3
2020,Prince Edward Island,Hommes,25 to 54 years,9.3
2015,Prince Edward Island,Hommes,55 years and over,11.4
2016,Prince Edward Island,Hommes,55 years and over,14.8
2017,Prince Edward Island,Hommes,55 years and over,11.7
2018,Prince Edward Island,Hommes,55 years and over,11.1
2019,Prince Edward Island,Hommes,55 years and over,12.7
2020,Prince Edward Island,Hommes,55 years and over,8.6
2015,Prince Edward Island,Hommes,15 to 64 years,11.9
2016,Prince Edward Island,Hommes,15 to 64 years,12.6
2017,Prince Edward Island,Hommes,15 to 64 years,11.4
2018,Prince Edward Island,Hommes,15 to 64 years,10.6
2019,Prince Edward Island,Hommes,15 to 64 years,10.8
2020,Prince Edward Island,Hommes,15 to 64 years,10.6
2015,Prince Edward Island,Hommes,15 to 19 years,28.0
2016,Prince Edward Island,Hommes,15 to 19 years,21.7
2017,Prince Edward Island,Hommes,15 to 19 years,20.0
2018,Prince Edward Island,Hommes,15 to 19 years,17.4
2019,Prince Edward Island,Hommes,15 to 19 years,12.5
2020,Prince Edward Island,Hommes,15 to 19 years,21.7
2015,Prince Edward Island,Hommes,20 to 24 years,18.4
2016,Prince Edward Island,Hommes,20 to 24 years,17.9
2017,Prince Edward Island,Hommes,20 to 24 years,12.8
2018,Prince Edward Island,Hommes,20 to 24 years,15.9
2019,Prince Edward Island,Hommes,20 to 24 years,13.7
2020,Prince Edward Island,Hommes,20 to 24 years,14.6
2015,Prince Edward Island,Hommes,25 to 29 years,11.1
2016,Prince Edward Island,Hommes,25 to 29 years,
2017,Prince Edward Island,Hommes,25 to 29 years,10.0
2018,Prince Edward Island,Hommes,25 to 29 years,9.5
2019,Prince Edward Island,Hommes,25 to 29 years,
2020,Prince Edward Island,Hommes,25 to 29 years,12.8
2015,Prince Edward Island,Hommes,30 to 34 years,10.8
2016,Prince Edward Island,Hommes,30 to 34 years,10.8
2017,Prince Edward Island,Hommes,30 to 34 years,10.3
2018,Prince Edward Island,Hommes,30 to 34 years,10.0
2019,Prince Edward Island,Hommes,30 to 34 years,10.3
2020,Prince Edward Island,Hommes,30 to 34 years,7.7
2015,Prince Edward Island,Hommes,35 to 39 years,13.9
2016,Prince Edward Island,Hommes,35 to 39 years,6.5
2017,Prince Edward Island,Hommes,35 to 39 years,10.0
2018,Prince Edward Island,Hommes,35 to 39 years,8.6
2019,Prince Edward Island,Hommes,35 to 39 years,10.3
2020,Prince Edward Island,Hommes,35 to 39 years,6.8
2015,Prince Edward Island,Hommes,40 to 44 years,9.8
2016,Prince Edward Island,Hommes,40 to 44 years,11.4
2017,Prince Edward Island,Hommes,40 to 44 years,10.3
2018,Prince Edward Island,Hommes,40 to 44 years,6.5
2019,Prince Edward Island,Hommes,40 to 44 years,7.0
2020,Prince Edward Island,Hommes,40 to 44 years,8.1
2015,Prince Edward Island,Hommes,45 to 49 years,6.8
2016,Prince Edward Island,Hommes,45 to 49 years,9.1
2017,Prince Edward Island,Hommes,45 to 49 years,11.4
2018,Prince Edward Island,Hommes,45 to 49 years,11.1
2019,Prince Edward Island,Hommes,45 to 49 years,9.5
2020,Prince Edward Island,Hommes,45 to 49 years,7.3
2015,Prince Edward Island,Hommes,50 to 54 years,7.7
2016,Prince Edward Island,Hommes,50 to 54 years,12.5
2017,Prince Edward Island,Hommes,50 to 54 years,8.3
2018,Prince Edward Island,Hommes,50 to 54 years,8.2
2019,Prince Edward Island,Hommes,50 to 54 years,10.2
2020,Prince Edward Island,Hommes,50 to 54 years,10.2
2015,Prince Edward Island,Hommes,55 to 59 years,9.1
2016,Prince Edward Island,Hommes,55 to 59 years,11.4
2017,Prince Edward Island,Hommes,55 to 59 years,11.1
2018,Prince Edward Island,Hommes,55 to 59 years,8.3
2019,Prince Edward Island,Hommes,55 to 59 years,10.9
2020,Prince Edward Island,Hommes,55 to 59 years,9.1
2015,Prince Edward Island,Hommes,60 to 64 years,15.6
2016,Prince Edward Island,Hommes,60 to 64 years,17.1
2017,Prince Edward Island,Hommes,60 to 64 years,14.7
2018,Prince Edward Island,Hommes,60 to 64 years,14.3
2019,Prince Edward Island,Hommes,60 to 64 years,15.4
2020,Prince Edward Island,Hommes,60 to 64 years,8.6
2015,Prince Edward Island,Hommes,65 years and over,
2016,Prince Edward Island,Hommes,65 years and over,
2017,Prince Edward Island,Hommes,65 years and over,
2018,Prince Edward Island,Hommes,65 years and over,
2019,Prince Edward Island,Hommes,65 years and over,
2020,Prince Edward Island,Hommes,65 years and over,8.1
2015,Prince Edward Island,Hommes,65 to 69 years,
2016,Prince Edward Island,Hommes,65 to 69 years,
2017,Prince Edward Island,Hommes,65 to 69 years,
2018,Prince Edward Island,Hommes,65 to 69 years,
2019,Prince Edward Island,Hommes,65 to 69 years,
2020,Prince Edward Island,Hommes,65 to 69 years,
2015,Prince Edward Island,Hommes,70 years and over,
2016,Prince Edward Island,Hommes,70 years and over,
2017,Prince Edward Island,Hommes,70 years and over,
2018,Prince Edward Island,Hommes,70 years and over,
2019,Prince Edward Island,Hommes,70 years and over,
2020,Prince Edward Island,Hommes,70 years and over,
2015,Prince Edward Island,Femmes,15 years and over,9.2
2016,Prince Edward Island,Femmes,15 years and over,8.8
2017,Prince Edward Island,Femmes,15 years and over,8.2
2018,Prince Edward Island,Femmes,15 years and over,8.4
2019,Prince Edward Island,Femmes,15 years and over,6.5
2020,Prince Edward Island,Femmes,15 years and over,10.4
2015,Prince Edward Island,Femmes,15 to 24 years,10.2
2016,Prince Edward Island,Femmes,15 to 24 years,12.9
2017,Prince Edward Island,Femmes,15 to 24 years,11.3
2018,Prince Edward Island,Femmes,15 to 24 years,9.2
2019,Prince Edward Island,Femmes,15 to 24 years,7.5
2020,Prince Edward Island,Femmes,15 to 24 years,15.9
2015,Prince Edward Island,Femmes,25 years and over,9.0
2016,Prince Edward Island,Femmes,25 years and over,8.0
2017,Prince Edward Island,Femmes,25 years and over,7.6
2018,Prince Edward Island,Femmes,25 years and over,8.2
2019,Prince Edward Island,Femmes,25 years and over,6.6
2020,Prince Edward Island,Femmes,25 years and over,9.5
2015,Prince Edward Island,Femmes,25 to 44 years,8.0
2016,Prince Edward Island,Femmes,25 to 44 years,7.6
2017,Prince Edward Island,Femmes,25 to 44 years,7.3
2018,Prince Edward Island,Femmes,25 to 44 years,7.1
2019,Prince Edward Island,Femmes,25 to 44 years,5.6
2020,Prince Edward Island,Femmes,25 to 44 years,10.5
2015,Prince Edward Island,Femmes,45 to 64 years,9.6
2016,Prince Edward Island,Femmes,45 to 64 years,8.5
2017,Prince Edward Island,Femmes,45 to 64 years,7.6
2018,Prince Edward Island,Femmes,45 to 64 years,8.3
2019,Prince Edward Island,Femmes,45 to 64 years,7.2
2020,Prince Edward Island,Femmes,45 to 64 years,8.3
2015,Prince Edward Island,Femmes,45 years and over,9.8
2016,Prince Edward Island,Femmes,45 years and over,8.4
2017,Prince Edward Island,Femmes,45 years and over,7.9
2018,Prince Edward Island,Femmes,45 years and over,8.6
2019,Prince Edward Island,Femmes,45 years and over,7.0
2020,Prince Edward Island,Femmes,45 years and over,9.1
2015,Prince Edward Island,Femmes,25 to 54 years,8.1
2016,Prince Edward Island,Femmes,25 to 54 years,7.5
2017,Prince Edward Island,Femmes,25 to 54 years,7.1
2018,Prince Edward Island,Femmes,25 to 54 years,7.3
2019,Prince Edward Island,Femmes,25 to 54 years,6.0
2020,Prince Edward Island,Femmes,25 to 54 years,9.5
2015,Prince Edward Island,Femmes,55 years and over,11.6
2016,Prince Edward Island,Femmes,55 years and over,10.5
2017,Prince Edward Island,Femmes,55 years and over,9.1
2018,Prince Edward Island,Femmes,55 years and over,10.4
2019,Prince Edward Island,Femmes,55 years and over,8.1
2020,Prince Edward Island,Femmes,55 years and over,9.4
2015,Prince Edward Island,Femmes,15 to 64 years,9.0
2016,Prince Edward Island,Femmes,15 to 64 years,8.9
2017,Prince Edward Island,Femmes,15 to 64 years,8.1
2018,Prince Edward Island,Femmes,15 to 64 years,8.2
2019,Prince Edward Island,Femmes,15 to 64 years,6.6
2020,Prince Edward Island,Femmes,15 to 64 years,10.2
2015,Prince Edward Island,Femmes,15 to 19 years,12.0
2016,Prince Edward Island,Femmes,15 to 19 years,14.8
2017,Prince Edward Island,Femmes,15 to 19 years,16.0
2018,Prince Edward Island,Femmes,15 to 19 years,11.5
2019,Prince Edward Island,Femmes,15 to 19 years,11.5
2020,Prince Edward Island,Femmes,15 to 19 years,18.2
2015,Prince Edward Island,Femmes,20 to 24 years,5.9
2016,Prince Edward Island,Femmes,20 to 24 years,11.4
2017,Prince Edward Island,Femmes,20 to 24 years,7.9
2018,Prince Edward Island,Femmes,20 to 24 years,7.7
2019,Prince Edward Island,Femmes,20 to 24 years,4.8
2020,Prince Edward Island,Femmes,20 to 24 years,14.6
2015,Prince Edward Island,Femmes,25 to 29 years,11.8
2016,Prince Edward Island,Femmes,25 to 29 years,
2017,Prince Edward Island,Femmes,25 to 29 years,11.1
2018,Prince Edward Island,Femmes,25 to 29 years,8.3
2019,Prince Edward Island,Femmes,25 to 29 years,
2020,Prince Edward Island,Femmes,25 to 29 years,12.5
2015,Prince Edward Island,Femmes,30 to 34 years,8.6
2016,Prince Edward Island,Femmes,30 to 34 years,8.6
2017,Prince Edward Island,Femmes,30 to 34 years,5.6
2018,Prince Edward Island,Femmes,30 to 34 years,8.1
2019,Prince Edward Island,Femmes,30 to 34 years,7.7
2020,Prince Edward Island,Femmes,30 to 34 years,7.7
2015,Prince Edward Island,Femmes,35 to 39 years,5.6
2016,Prince Edward Island,Femmes,35 to 39 years,8.8
2017,Prince Edward Island,Femmes,35 to 39 years,5.4
2018,Prince Edward Island,Femmes,35 to 39 years,5.1
2019,Prince Edward Island,Femmes,35 to 39 years,4.9
2020,Prince Edward Island,Femmes,35 to 39 years,14.0
2015,Prince Edward Island,Femmes,40 to 44 years,6.7
2016,Prince Edward Island,Femmes,40 to 44 years,7.3
2017,Prince Edward Island,Femmes,40 to 44 years,7.1
2018,Prince Edward Island,Femmes,40 to 44 years,7.0
2019,Prince Edward Island,Femmes,40 to 44 years,4.5
2020,Prince Edward Island,Femmes,40 to 44 years,7.5
2015,Prince Edward Island,Femmes,45 to 49 years,7.3
2016,Prince Edward Island,Femmes,45 to 49 years,6.7
2017,Prince Edward Island,Femmes,45 to 49 years,7.5
2018,Prince Edward Island,Femmes,45 to 49 years,4.9
2019,Prince Edward Island,Femmes,45 to 49 years,7.0
2020,Prince Edward Island,Femmes,45 to 49 years,6.8
2015,Prince Edward Island,Femmes,50 to 54 years,8.9
2016,Prince Edward Island,Femmes,50 to 54 years,8.3
2017,Prince Edward Island,Femmes,50 to 54 years,6.0
2018,Prince Edward Island,Femmes,50 to 54 years,8.2
2019,Prince Edward Island,Femmes,50 to 54 years,6.7
2020,Prince Edward Island,Femmes,50 to 54 years,8.5
2015,Prince Edward Island,Femmes,55 to 59 years,8.9
2016,Prince Edward Island,Femmes,55 to 59 years,9.1
2017,Prince Edward Island,Femmes,55 to 59 years,9.8
2018,Prince Edward Island,Femmes,55 to 59 years,8.9
2019,Prince Edward Island,Femmes,55 to 59 years,6.5
2020,Prince Edward Island,Femmes,55 to 59 years,6.7
2015,Prince Edward Island,Femmes,60 to 64 years,11.5
2016,Prince Edward Island,Femmes,60 to 64 years,11.1
2017,Prince Edward Island,Femmes,60 to 64 years,7.1
2018,Prince Edward Island,Femmes,60 to 64 years,12.5
2019,Prince Edward Island,Femmes,60 to 64 years,12.1
2020,Prince Edward Island,Femmes,60 to 64 years,12.5
2015,Prince Edward Island,Femmes,65 years and over,
2016,Prince Edward Island,Femmes,65 years and over,
2017,Prince Edward Island,Femmes,65 years and over,
2018,Prince Edward Island,Femmes,65 years and over,
2019,Prince Edward Island,Femmes,65 years and over,
2020,Prince Edward Island,Femmes,65 years and over,15.8
2015,Prince Edward Island,Femmes,65 to 69 years,
2016,Prince Edward Island,Femmes,65 to 69 years,
2017,Prince Edward Island,Femmes,65 to 69 years,
2018,Prince Edward Island,Femmes,65 to 69 years,
2019,Prince Edward Island,Femmes,65 to 69 years,
2020,Prince Edward Island,Femmes,65 to 69 years,
2015,Prince Edward Island,Femmes,70 years and over,
2016,Prince Edward Island,Femmes,70 years and over,
2017,Prince Edward Island,Femmes,70 years and over,
2018,Prince Edward Island,Femmes,70 years and over,
2019,Prince Edward Island,Femmes,70 years and over,
2020,Prince Edward Island,Femmes,70 years and over,
2015,Nova Scotia,Les deux sexes,15 years and over,8.7
2016,Nova Scotia,Les deux sexes,15 years and over,8.4
2017,Nova Scotia,Les deux sexes,15 years and over,8.6
2018,Nova Scotia,Les deux sexes,15 years and over,7.7
2019,Nova Scotia,Les deux sexes,15 years and over,7.4
2020,Nova Scotia,Les deux sexes,15 years and over,9.8
2015,Nova Scotia,Les deux sexes,15 to 24 years,15.1
2016,Nova Scotia,Les deux sexes,15 to 24 years,14.5
2017,Nova Scotia,Les deux sexes,15 to 24 years,16.6
2018,Nova Scotia,Les deux sexes,15 to 24 years,15.6
2019,Nova Scotia,Les deux sexes,15 to 24 years,13.3
2020,Nova Scotia,Les deux sexes,15 to 24 years,17.2
2015,Nova Scotia,Les deux sexes,25 years and over,7.6
2016,Nova Scotia,Les deux sexes,25 years and over,7.4
2017,Nova Scotia,Les deux sexes,25 years and over,7.2
2018,Nova Scotia,Les deux sexes,25 years and over,6.2
2019,Nova Scotia,Les deux sexes,25 years and over,6.3
2020,Nova Scotia,Les deux sexes,25 years and over,8.5
2015,Nova Scotia,Les deux sexes,25 to 44 years,7.0
2016,Nova Scotia,Les deux sexes,25 to 44 years,7.5
2017,Nova Scotia,Les deux sexes,25 to 44 years,7.5
2018,Nova Scotia,Les deux sexes,25 to 44 years,6.6
2019,Nova Scotia,Les deux sexes,25 to 44 years,6.9
2020,Nova Scotia,Les deux sexes,25 to 44 years,9.1
2015,Nova Scotia,Les deux sexes,45 to 64 years,8.3
2016,Nova Scotia,Les deux sexes,45 to 64 years,7.4
2017,Nova Scotia,Les deux sexes,45 to 64 years,6.9
2018,Nova Scotia,Les deux sexes,45 to 64 years,6.0
2019,Nova Scotia,Les deux sexes,45 to 64 years,5.8
2020,Nova Scotia,Les deux sexes,45 to 64 years,8.0
2015,Nova Scotia,Les deux sexes,45 years and over,8.1
2016,Nova Scotia,Les deux sexes,45 years and over,7.2
2017,Nova Scotia,Les deux sexes,45 years and over,6.9
2018,Nova Scotia,Les deux sexes,45 years and over,6.0
2019,Nova Scotia,Les deux sexes,45 years and over,5.8
2020,Nova Scotia,Les deux sexes,45 years and over,8.0
2015,Nova Scotia,Les deux sexes,25 to 54 years,7.3
2016,Nova Scotia,Les deux sexes,25 to 54 years,7.3
2017,Nova Scotia,Les deux sexes,25 to 54 years,7.1
2018,Nova Scotia,Les deux sexes,25 to 54 years,6.2
2019,Nova Scotia,Les deux sexes,25 to 54 years,6.2
2020,Nova Scotia,Les deux sexes,25 to 54 years,8.2
2015,Nova Scotia,Les deux sexes,55 years and over,8.3
2016,Nova Scotia,Les deux sexes,55 years and over,7.7
2017,Nova Scotia,Les deux sexes,55 years and over,7.5
2018,Nova Scotia,Les deux sexes,55 years and over,6.5
2019,Nova Scotia,Les deux sexes,55 years and over,6.6
2020,Nova Scotia,Les deux sexes,55 years and over,9.3
2015,Nova Scotia,Les deux sexes,15 to 64 years,8.8
2016,Nova Scotia,Les deux sexes,15 to 64 years,8.5
2017,Nova Scotia,Les deux sexes,15 to 64 years,8.7
2018,Nova Scotia,Les deux sexes,15 to 64 years,7.8
2019,Nova Scotia,Les deux sexes,15 to 64 years,7.4
2020,Nova Scotia,Les deux sexes,15 to 64 years,9.9
2015,Nova Scotia,Les deux sexes,15 to 19 years,20.9
2016,Nova Scotia,Les deux sexes,15 to 19 years,21.1
2017,Nova Scotia,Les deux sexes,15 to 19 years,22.1
2018,Nova Scotia,Les deux sexes,15 to 19 years,20.5
2019,Nova Scotia,Les deux sexes,15 to 19 years,17.1
2020,Nova Scotia,Les deux sexes,15 to 19 years,20.2
2015,Nova Scotia,Les deux sexes,20 to 24 years,11.6
2016,Nova Scotia,Les deux sexes,20 to 24 years,10.8
2017,Nova Scotia,Les deux sexes,20 to 24 years,13.6
2018,Nova Scotia,Les deux sexes,20 to 24 years,12.8
2019,Nova Scotia,Les deux sexes,20 to 24 years,11.1
2020,Nova Scotia,Les deux sexes,20 to 24 years,15.6
2015,Nova Scotia,Les deux sexes,25 to 29 years,8.7
2016,Nova Scotia,Les deux sexes,25 to 29 years,8.5
2017,Nova Scotia,Les deux sexes,25 to 29 years,9.1
2018,Nova Scotia,Les deux sexes,25 to 29 years,7.3
2019,Nova Scotia,Les deux sexes,25 to 29 years,8.2
2020,Nova Scotia,Les deux sexes,25 to 29 years,13.2
2015,Nova Scotia,Les deux sexes,30 to 34 years,6.7
2016,Nova Scotia,Les deux sexes,30 to 34 years,7.6
2017,Nova Scotia,Les deux sexes,30 to 34 years,7.2
2018,Nova Scotia,Les deux sexes,30 to 34 years,7.9
2019,Nova Scotia,Les deux sexes,30 to 34 years,6.7
2020,Nova Scotia,Les deux sexes,30 to 34 years,8.7
2015,Nova Scotia,Les deux sexes,35 to 39 years,7.0
2016,Nova Scotia,Les deux sexes,35 to 39 years,7.2
2017,Nova Scotia,Les deux sexes,35 to 39 years,7.1
2018,Nova Scotia,Les deux sexes,35 to 39 years,6.1
2019,Nova Scotia,Les deux sexes,35 to 39 years,7.2
2020,Nova Scotia,Les deux sexes,35 to 39 years,7.3
2015,Nova Scotia,Les deux sexes,40 to 44 years,5.8
2016,Nova Scotia,Les deux sexes,40 to 44 years,6.9
2017,Nova Scotia,Les deux sexes,40 to 44 years,7.0
2018,Nova Scotia,Les deux sexes,40 to 44 years,5.0
2019,Nova Scotia,Les deux sexes,40 to 44 years,5.1
2020,Nova Scotia,Les deux sexes,40 to 44 years,7.0
2015,Nova Scotia,Les deux sexes,45 to 49 years,7.8
2016,Nova Scotia,Les deux sexes,45 to 49 years,6.0
2017,Nova Scotia,Les deux sexes,45 to 49 years,6.4
2018,Nova Scotia,Les deux sexes,45 to 49 years,6.1
2019,Nova Scotia,Les deux sexes,45 to 49 years,4.9
2020,Nova Scotia,Les deux sexes,45 to 49 years,5.6
2015,Nova Scotia,Les deux sexes,50 to 54 years,8.0
2016,Nova Scotia,Les deux sexes,50 to 54 years,7.4
2017,Nova Scotia,Les deux sexes,50 to 54 years,6.2
2018,Nova Scotia,Les deux sexes,50 to 54 years,4.8
2019,Nova Scotia,Les deux sexes,50 to 54 years,5.0
2020,Nova Scotia,Les deux sexes,50 to 54 years,7.2
2015,Nova Scotia,Les deux sexes,55 to 59 years,8.0
2016,Nova Scotia,Les deux sexes,55 to 59 years,7.2
2017,Nova Scotia,Les deux sexes,55 to 59 years,7.0
2018,Nova Scotia,Les deux sexes,55 to 59 years,5.7
2019,Nova Scotia,Les deux sexes,55 to 59 years,6.2
2020,Nova Scotia,Les deux sexes,55 to 59 years,9.1
2015,Nova Scotia,Les deux sexes,60 to 64 years,10.1
2016,Nova Scotia,Les deux sexes,60 to 64 years,9.4
2017,Nova Scotia,Les deux sexes,60 to 64 years,8.8
2018,Nova Scotia,Les deux sexes,60 to 64 years,8.2
2019,Nova Scotia,Les deux sexes,60 to 64 years,7.4
2020,Nova Scotia,Les deux sexes,60 to 64 years,11.0
2015,Nova Scotia,Les deux sexes,65 years and over,6.2
2016,Nova Scotia,Les deux sexes,65 years and over,6.0
2017,Nova Scotia,Les deux sexes,65 years and over,6.2
2018,Nova Scotia,Les deux sexes,65 years and over,5.8
2019,Nova Scotia,Les deux sexes,65 years and over,6.3
2020,Nova Scotia,Les deux sexes,65 years and over,7.5
2015,Nova Scotia,Les deux sexes,65 to 69 years,7.1
2016,Nova Scotia,Les deux sexes,65 to 69 years,7.4
2017,Nova Scotia,Les deux sexes,65 to 69 years,6.2
2018,Nova Scotia,Les deux sexes,65 to 69 years,7.1
2019,Nova Scotia,Les deux sexes,65 to 69 years,7.8
2020,Nova Scotia,Les deux sexes,65 to 69 years,8.3
2015,Nova Scotia,Les deux sexes,70 years and over,
2016,Nova Scotia,Les deux sexes,70 years and over,
2017,Nova Scotia,Les deux sexes,70 years and over,
2018,Nova Scotia,Les deux sexes,70 years and over,
2019,Nova Scotia,Les deux sexes,70 years and over,
2020,Nova Scotia,Les deux sexes,70 years and over,6.3
2015,Nova Scotia,Hommes,15 years and over,10.2
2016,Nova Scotia,Hommes,15 years and over,10.3
2017,Nova Scotia,Hommes,15 years and over,10.7
2018,Nova Scotia,Hommes,15 years and over,9.2
2019,Nova Scotia,Hommes,15 years and over,8.5
2020,Nova Scotia,Hommes,15 years and over,10.5
2015,Nova Scotia,Hommes,15 to 24 years,17.3
2016,Nova Scotia,Hommes,15 to 24 years,16.9
2017,Nova Scotia,Hommes,15 to 24 years,20.3
2018,Nova Scotia,Hommes,15 to 24 years,18.2
2019,Nova Scotia,Hommes,15 to 24 years,14.1
2020,Nova Scotia,Hommes,15 to 24 years,19.5
2015,Nova Scotia,Hommes,25 years and over,8.9
2016,Nova Scotia,Hommes,25 years and over,9.2
2017,Nova Scotia,Hommes,25 years and over,9.1
2018,Nova Scotia,Hommes,25 years and over,7.6
2019,Nova Scotia,Hommes,25 years and over,7.4
2020,Nova Scotia,Hommes,25 years and over,8.9
2015,Nova Scotia,Hommes,25 to 44 years,8.3
2016,Nova Scotia,Hommes,25 to 44 years,9.6
2017,Nova Scotia,Hommes,25 to 44 years,9.8
2018,Nova Scotia,Hommes,25 to 44 years,8.1
2019,Nova Scotia,Hommes,25 to 44 years,8.1
2020,Nova Scotia,Hommes,25 to 44 years,10.0
2015,Nova Scotia,Hommes,45 to 64 years,9.6
2016,Nova Scotia,Hommes,45 to 64 years,9.0
2017,Nova Scotia,Hommes,45 to 64 years,8.9
2018,Nova Scotia,Hommes,45 to 64 years,7.5
2019,Nova Scotia,Hommes,45 to 64 years,6.9
2020,Nova Scotia,Hommes,45 to 64 years,8.1
2015,Nova Scotia,Hommes,45 years and over,9.3
2016,Nova Scotia,Hommes,45 years and over,8.9
2017,Nova Scotia,Hommes,45 years and over,8.5
2018,Nova Scotia,Hommes,45 years and over,7.2
2019,Nova Scotia,Hommes,45 years and over,6.8
2020,Nova Scotia,Hommes,45 years and over,8.1
2015,Nova Scotia,Hommes,25 to 54 years,8.5
2016,Nova Scotia,Hommes,25 to 54 years,9.2
2017,Nova Scotia,Hommes,25 to 54 years,9.1
2018,Nova Scotia,Hommes,25 to 54 years,7.6
2019,Nova Scotia,Hommes,25 to 54 years,7.4
2020,Nova Scotia,Hommes,25 to 54 years,8.7
2015,Nova Scotia,Hommes,55 years and over,9.9
2016,Nova Scotia,Hommes,55 years and over,9.3
2017,Nova Scotia,Hommes,55 years and over,9.0
2018,Nova Scotia,Hommes,55 years and over,7.8
2019,Nova Scotia,Hommes,55 years and over,7.4
2020,Nova Scotia,Hommes,55 years and over,9.5
2015,Nova Scotia,Hommes,15 to 64 years,10.3
2016,Nova Scotia,Hommes,15 to 64 years,10.4
