Year,Géographie,Age group,Sexe,Value
2018,Nouveau-Brunswick,65 ans et plus,Femmes,
2019,Nouveau-Brunswick,65 ans et plus,Femmes,
2015,Québec,Total 12 years and over,Both sexes,38.8
2016,Québec,Total 12 years and over,Both sexes,38.4
2017,Québec,Total 12 years and over,Both sexes,34.5
2018,Québec,Total 12 years and over,Both sexes,
2019,Québec,Total 12 years and over,Both sexes,
2015,Québec,Total 12 years and over,Hommes,30.8
2016,Québec,Total 12 years and over,Hommes,29.6
2017,Québec,Total 12 years and over,Hommes,27.1
2018,Québec,Total 12 years and over,Hommes,
2019,Québec,Total 12 years and over,Hommes,
2015,Québec,Total 12 years and over,Femmes,46.7
2016,Québec,Total 12 years and over,Femmes,46.9
2017,Québec,Total 12 years and over,Femmes,41.8
2018,Québec,Total 12 years and over,Femmes,
2019,Québec,Total 12 years and over,Femmes,
2015,Québec,12 to 17 years,Both sexes,44.2
2016,Québec,12 to 17 years,Both sexes,42.2
2017,Québec,12 to 17 years,Both sexes,38.7
2018,Québec,12 to 17 years,Both sexes,
2019,Québec,12 to 17 years,Both sexes,
2015,Québec,12 to 17 years,Hommes,44.2
2016,Québec,12 to 17 years,Hommes,40.6
2017,Québec,12 to 17 years,Hommes,35.4
2018,Québec,12 to 17 years,Hommes,
2019,Québec,12 to 17 years,Hommes,
2015,Québec,12 to 17 years,Femmes,44.3
2016,Québec,12 to 17 years,Femmes,43.7
2017,Québec,12 to 17 years,Femmes,41.9
2018,Québec,12 to 17 years,Femmes,
2019,Québec,12 to 17 years,Femmes,
2015,Québec,18 to 34 years,Both sexes,39.2
2016,Québec,18 to 34 years,Both sexes,40.5
2017,Québec,18 to 34 years,Both sexes,32.5
2018,Québec,18 to 34 years,Both sexes,
2019,Québec,18 to 34 years,Both sexes,
2015,Québec,18 to 34 years,Hommes,37.0
2016,Québec,18 to 34 years,Hommes,32.3
2017,Québec,18 to 34 years,Hommes,28.2
2018,Québec,18 to 34 years,Hommes,
2019,Québec,18 to 34 years,Hommes,
2015,Québec,18 to 34 years,Femmes,41.5
2016,Québec,18 to 34 years,Femmes,48.4
2017,Québec,18 to 34 years,Femmes,36.8
2018,Québec,18 to 34 years,Femmes,
2019,Québec,18 to 34 years,Femmes,
2015,Québec,35 to 49 years,Both sexes,40.3
2016,Québec,35 to 49 years,Both sexes,41.7
2017,Québec,35 to 49 years,Both sexes,36.1
2018,Québec,35 to 49 years,Both sexes,
2019,Québec,35 to 49 years,Both sexes,
2015,Québec,35 to 49 years,Hommes,30.8
2016,Québec,35 to 49 years,Hommes,31.7
2017,Québec,35 to 49 years,Hommes,26.4
2018,Québec,35 to 49 years,Hommes,
2019,Québec,35 to 49 years,Hommes,
2015,Québec,35 to 49 years,Femmes,50.1
2016,Québec,35 to 49 years,Femmes,51.9
2017,Québec,35 to 49 years,Femmes,46.2
2018,Québec,35 to 49 years,Femmes,
2019,Québec,35 to 49 years,Femmes,
2015,Québec,50 to 64 years,Both sexes,35.9
2016,Québec,50 to 64 years,Both sexes,34.4
2017,Québec,50 to 64 years,Both sexes,31.9
2018,Québec,50 to 64 years,Both sexes,
2019,Québec,50 to 64 years,Both sexes,
2015,Québec,50 to 64 years,Hommes,23.4
2016,Québec,50 to 64 years,Hommes,26.9
2017,Québec,50 to 64 years,Hommes,23.3
2018,Québec,50 to 64 years,Hommes,
2019,Québec,50 to 64 years,Hommes,
2015,Québec,50 to 64 years,Femmes,48.8
2016,Québec,50 to 64 years,Femmes,42.0
2017,Québec,50 to 64 years,Femmes,40.4
2018,Québec,50 to 64 years,Femmes,
2019,Québec,50 to 64 years,Femmes,
2015,Québec,65 ans et plus,Both sexes,38.5
2016,Québec,65 ans et plus,Both sexes,35.7
2017,Québec,65 ans et plus,Both sexes,37.4
2018,Québec,65 ans et plus,Both sexes,
2019,Québec,65 ans et plus,Both sexes,
2015,Québec,65 ans et plus,Hommes,27.6
2016,Québec,65 ans et plus,Hommes,22.8
2017,Québec,65 ans et plus,Hommes,29.0
2018,Québec,65 ans et plus,Hommes,
2019,Québec,65 ans et plus,Hommes,
2015,Québec,65 ans et plus,Femmes,47.7
2016,Québec,65 ans et plus,Femmes,46.4
2017,Québec,65 ans et plus,Femmes,44.4
2018,Québec,65 ans et plus,Femmes,
2019,Québec,65 ans et plus,Femmes,
2015,Ontario,Total 12 years and over,Both sexes,28.7
2016,Ontario,Total 12 years and over,Both sexes,26.9
2017,Ontario,Total 12 years and over,Both sexes,26.7
2018,Ontario,Total 12 years and over,Both sexes,
2019,Ontario,Total 12 years and over,Both sexes,
2015,Ontario,Total 12 years and over,Hommes,22.8
2016,Ontario,Total 12 years and over,Hommes,20.5
2017,Ontario,Total 12 years and over,Hommes,20.9
2018,Ontario,Total 12 years and over,Hommes,
2019,Ontario,Total 12 years and over,Hommes,
2015,Ontario,Total 12 years and over,Femmes,34.2
2016,Ontario,Total 12 years and over,Femmes,32.8
2017,Ontario,Total 12 years and over,Femmes,32.1
2018,Ontario,Total 12 years and over,Femmes,
2019,Ontario,Total 12 years and over,Femmes,
2015,Ontario,12 to 17 years,Both sexes,23.9
2016,Ontario,12 to 17 years,Both sexes,25.2
2017,Ontario,12 to 17 years,Both sexes,23.6
2018,Ontario,12 to 17 years,Both sexes,
2019,Ontario,12 to 17 years,Both sexes,
2015,Ontario,12 to 17 years,Hommes,22.9
2016,Ontario,12 to 17 years,Hommes,24.9
2017,Ontario,12 to 17 years,Hommes,19.8
2018,Ontario,12 to 17 years,Hommes,
2019,Ontario,12 to 17 years,Hommes,
2015,Ontario,12 to 17 years,Femmes,24.9
2016,Ontario,12 to 17 years,Femmes,25.5
2017,Ontario,12 to 17 years,Femmes,27.5
2018,Ontario,12 to 17 years,Femmes,
2019,Ontario,12 to 17 years,Femmes,
2015,Ontario,18 to 34 years,Both sexes,28.4
2016,Ontario,18 to 34 years,Both sexes,24.9
2017,Ontario,18 to 34 years,Both sexes,25.4
2018,Ontario,18 to 34 years,Both sexes,
2019,Ontario,18 to 34 years,Both sexes,
2015,Ontario,18 to 34 years,Hommes,22.5
2016,Ontario,18 to 34 years,Hommes,19.5
2017,Ontario,18 to 34 years,Hommes,19.9
2018,Ontario,18 to 34 years,Hommes,
2019,Ontario,18 to 34 years,Hommes,
2015,Ontario,18 to 34 years,Femmes,34.2
2016,Ontario,18 to 34 years,Femmes,30.1
2017,Ontario,18 to 34 years,Femmes,30.7
2018,Ontario,18 to 34 years,Femmes,
2019,Ontario,18 to 34 years,Femmes,
2015,Ontario,35 to 49 years,Both sexes,30.3
2016,Ontario,35 to 49 years,Both sexes,29.7
2017,Ontario,35 to 49 years,Both sexes,26.7
2018,Ontario,35 to 49 years,Both sexes,
2019,Ontario,35 to 49 years,Both sexes,
2015,Ontario,35 to 49 years,Hommes,23.7
2016,Ontario,35 to 49 years,Hommes,21.8
2017,Ontario,35 to 49 years,Hommes,21.3
2018,Ontario,35 to 49 years,Hommes,
2019,Ontario,35 to 49 years,Hommes,
2015,Ontario,35 to 49 years,Femmes,36.5
2016,Ontario,35 to 49 years,Femmes,36.9
2017,Ontario,35 to 49 years,Femmes,31.7
2018,Ontario,35 to 49 years,Femmes,
2019,Ontario,35 to 49 years,Femmes,
2015,Ontario,50 to 64 years,Both sexes,28.2
2016,Ontario,50 to 64 years,Both sexes,27.0
2017,Ontario,50 to 64 years,Both sexes,27.6
2018,Ontario,50 to 64 years,Both sexes,
2019,Ontario,50 to 64 years,Both sexes,
2015,Ontario,50 to 64 years,Hommes,20.7
2016,Ontario,50 to 64 years,Hommes,18.6
2017,Ontario,50 to 64 years,Hommes,21.2
2018,Ontario,50 to 64 years,Hommes,
2019,Ontario,50 to 64 years,Hommes,
2015,Ontario,50 to 64 years,Femmes,35.5
2016,Ontario,50 to 64 years,Femmes,35.0
2017,Ontario,50 to 64 years,Femmes,33.7
2018,Ontario,50 to 64 years,Femmes,
2019,Ontario,50 to 64 years,Femmes,
2015,Ontario,65 ans et plus,Both sexes,29.5
2016,Ontario,65 ans et plus,Both sexes,26.7
2017,Ontario,65 ans et plus,Both sexes,28.7
2018,Ontario,65 ans et plus,Both sexes,
2019,Ontario,65 ans et plus,Both sexes,
2015,Ontario,65 ans et plus,Hommes,25.6
2016,Ontario,65 ans et plus,Hommes,21.2
2017,Ontario,65 ans et plus,Hommes,22.2
2018,Ontario,65 ans et plus,Hommes,
2019,Ontario,65 ans et plus,Hommes,
2015,Ontario,65 ans et plus,Femmes,32.6
2016,Ontario,65 ans et plus,Femmes,31.2
2017,Ontario,65 ans et plus,Femmes,34.0
2018,Ontario,65 ans et plus,Femmes,
2019,Ontario,65 ans et plus,Femmes,
2015,Manitoba,Total 12 years and over,Both sexes,29.6
2016,Manitoba,Total 12 years and over,Both sexes,25.0
2017,Manitoba,Total 12 years and over,Both sexes,25.0
2018,Manitoba,Total 12 years and over,Both sexes,
2019,Manitoba,Total 12 years and over,Both sexes,
2015,Manitoba,Total 12 years and over,Hommes,22.3
2016,Manitoba,Total 12 years and over,Hommes,16.7
2017,Manitoba,Total 12 years and over,Hommes,20.6
2018,Manitoba,Total 12 years and over,Hommes,
2019,Manitoba,Total 12 years and over,Hommes,
2015,Manitoba,Total 12 years and over,Femmes,36.6
2016,Manitoba,Total 12 years and over,Femmes,32.8
2017,Manitoba,Total 12 years and over,Femmes,29.3
2018,Manitoba,Total 12 years and over,Femmes,
2019,Manitoba,Total 12 years and over,Femmes,
2015,Manitoba,12 to 17 years,Both sexes,42.9
2016,Manitoba,12 to 17 years,Both sexes,19.8
2017,Manitoba,12 to 17 years,Both sexes,22.4
2018,Manitoba,12 to 17 years,Both sexes,
2019,Manitoba,12 to 17 years,Both sexes,
2015,Manitoba,12 to 17 years,Hommes,37.4
2016,Manitoba,12 to 17 years,Hommes,15.8
2017,Manitoba,12 to 17 years,Hommes,27.4
2018,Manitoba,12 to 17 years,Hommes,
2019,Manitoba,12 to 17 years,Hommes,
2015,Manitoba,12 to 17 years,Femmes,48.6
2016,Manitoba,12 to 17 years,Femmes,24.0
2017,Manitoba,12 to 17 years,Femmes,17.4
2018,Manitoba,12 to 17 years,Femmes,
2019,Manitoba,12 to 17 years,Femmes,
2015,Manitoba,18 to 34 years,Both sexes,33.6
2016,Manitoba,18 to 34 years,Both sexes,26.9
2017,Manitoba,18 to 34 years,Both sexes,24.3
2018,Manitoba,18 to 34 years,Both sexes,
2019,Manitoba,18 to 34 years,Both sexes,
2015,Manitoba,18 to 34 years,Hommes,25.4
2016,Manitoba,18 to 34 years,Hommes,19.0
2017,Manitoba,18 to 34 years,Hommes,19.3
2018,Manitoba,18 to 34 years,Hommes,
2019,Manitoba,18 to 34 years,Hommes,
2015,Manitoba,18 to 34 years,Femmes,41.7
2016,Manitoba,18 to 34 years,Femmes,34.7
2017,Manitoba,18 to 34 years,Femmes,29.4
2018,Manitoba,18 to 34 years,Femmes,
2019,Manitoba,18 to 34 years,Femmes,
2015,Manitoba,35 to 49 years,Both sexes,30.0
2016,Manitoba,35 to 49 years,Both sexes,27.6
2017,Manitoba,35 to 49 years,Both sexes,29.2
2018,Manitoba,35 to 49 years,Both sexes,
2019,Manitoba,35 to 49 years,Both sexes,
2015,Manitoba,35 to 49 years,Hommes,22.8
2016,Manitoba,35 to 49 years,Hommes,17.8
2017,Manitoba,35 to 49 years,Hommes,21.7
2018,Manitoba,35 to 49 years,Hommes,
2019,Manitoba,35 to 49 years,Hommes,
2015,Manitoba,35 to 49 years,Femmes,37.0
2016,Manitoba,35 to 49 years,Femmes,37.0
2017,Manitoba,35 to 49 years,Femmes,36.6
2018,Manitoba,35 to 49 years,Femmes,
2019,Manitoba,35 to 49 years,Femmes,
2015,Manitoba,50 to 64 years,Both sexes,23.9
2016,Manitoba,50 to 64 years,Both sexes,22.2
2017,Manitoba,50 to 64 years,Both sexes,22.7
2018,Manitoba,50 to 64 years,Both sexes,
2019,Manitoba,50 to 64 years,Both sexes,
2015,Manitoba,50 to 64 years,Hommes,16.0
2016,Manitoba,50 to 64 years,Hommes,13.2
2017,Manitoba,50 to 64 years,Hommes,18.2
2018,Manitoba,50 to 64 years,Hommes,
2019,Manitoba,50 to 64 years,Hommes,
2015,Manitoba,50 to 64 years,Femmes,31.8
2016,Manitoba,50 to 64 years,Femmes,31.0
2017,Manitoba,50 to 64 years,Femmes,27.2
2018,Manitoba,50 to 64 years,Femmes,
2019,Manitoba,50 to 64 years,Femmes,
2015,Manitoba,65 ans et plus,Both sexes,25.1
2016,Manitoba,65 ans et plus,Both sexes,24.7
2017,Manitoba,65 ans et plus,Both sexes,24.8
2018,Manitoba,65 ans et plus,Both sexes,
2019,Manitoba,65 ans et plus,Both sexes,
2015,Manitoba,65 ans et plus,Hommes,18.4
2016,Manitoba,65 ans et plus,Hommes,17.0
2017,Manitoba,65 ans et plus,Hommes,21.5
2018,Manitoba,65 ans et plus,Hommes,
2019,Manitoba,65 ans et plus,Hommes,
2015,Manitoba,65 ans et plus,Femmes,30.6
2016,Manitoba,65 ans et plus,Femmes,30.7
2017,Manitoba,65 ans et plus,Femmes,27.6
2018,Manitoba,65 ans et plus,Femmes,
2019,Manitoba,65 ans et plus,Femmes,
2015,Saskatchewan,Total 12 years and over,Both sexes,30.0
2016,Saskatchewan,Total 12 years and over,Both sexes,26.7
2017,Saskatchewan,Total 12 years and over,Both sexes,26.0
2018,Saskatchewan,Total 12 years and over,Both sexes,
2019,Saskatchewan,Total 12 years and over,Both sexes,27.1
2015,Saskatchewan,Total 12 years and over,Hommes,22.1
2016,Saskatchewan,Total 12 years and over,Hommes,18.2
2017,Saskatchewan,Total 12 years and over,Hommes,19.3
2018,Saskatchewan,Total 12 years and over,Hommes,
2019,Saskatchewan,Total 12 years and over,Hommes,20.1
2015,Saskatchewan,Total 12 years and over,Femmes,37.9
2016,Saskatchewan,Total 12 years and over,Femmes,35.4
2017,Saskatchewan,Total 12 years and over,Femmes,32.7
2018,Saskatchewan,Total 12 years and over,Femmes,
2019,Saskatchewan,Total 12 years and over,Femmes,34.1
2015,Saskatchewan,12 to 17 years,Both sexes,34.0
2016,Saskatchewan,12 to 17 years,Both sexes,24.4
2017,Saskatchewan,12 to 17 years,Both sexes,24.8
2018,Saskatchewan,12 to 17 years,Both sexes,
2019,Saskatchewan,12 to 17 years,Both sexes,24.5
2015,Saskatchewan,12 to 17 years,Hommes,31.1
2016,Saskatchewan,12 to 17 years,Hommes,16.0
2017,Saskatchewan,12 to 17 years,Hommes,21.4
2018,Saskatchewan,12 to 17 years,Hommes,
2019,Saskatchewan,12 to 17 years,Hommes,20.6
2015,Saskatchewan,12 to 17 years,Femmes,36.8
2016,Saskatchewan,12 to 17 years,Femmes,32.9
2017,Saskatchewan,12 to 17 years,Femmes,28.6
2018,Saskatchewan,12 to 17 years,Femmes,
2019,Saskatchewan,12 to 17 years,Femmes,28.4
2015,Saskatchewan,18 to 34 years,Both sexes,29.3
2016,Saskatchewan,18 to 34 years,Both sexes,27.9
2017,Saskatchewan,18 to 34 years,Both sexes,23.7
2018,Saskatchewan,18 to 34 years,Both sexes,
2019,Saskatchewan,18 to 34 years,Both sexes,27.5
2015,Saskatchewan,18 to 34 years,Hommes,21.8
2016,Saskatchewan,18 to 34 years,Hommes,22.4
2017,Saskatchewan,18 to 34 years,Hommes,16.6
2018,Saskatchewan,18 to 34 years,Hommes,
2019,Saskatchewan,18 to 34 years,Hommes,21.2
2015,Saskatchewan,18 to 34 years,Femmes,37.0
2016,Saskatchewan,18 to 34 years,Femmes,33.9
2017,Saskatchewan,18 to 34 years,Femmes,30.9
2018,Saskatchewan,18 to 34 years,Femmes,
2019,Saskatchewan,18 to 34 years,Femmes,34.1
2015,Saskatchewan,35 to 49 years,Both sexes,28.3
2016,Saskatchewan,35 to 49 years,Both sexes,23.0
2017,Saskatchewan,35 to 49 years,Both sexes,27.6
2018,Saskatchewan,35 to 49 years,Both sexes,
2019,Saskatchewan,35 to 49 years,Both sexes,29.9
2015,Saskatchewan,35 to 49 years,Hommes,20.3
2016,Saskatchewan,35 to 49 years,Hommes,15.8
2017,Saskatchewan,35 to 49 years,Hommes,20.8
2018,Saskatchewan,35 to 49 years,Hommes,
2019,Saskatchewan,35 to 49 years,Hommes,23.6
2015,Saskatchewan,35 to 49 years,Femmes,36.5
2016,Saskatchewan,35 to 49 years,Femmes,30.4
2017,Saskatchewan,35 to 49 years,Femmes,34.9
2018,Saskatchewan,35 to 49 years,Femmes,
2019,Saskatchewan,35 to 49 years,Femmes,36.5
2015,Saskatchewan,50 to 64 years,Both sexes,30.2
2016,Saskatchewan,50 to 64 years,Both sexes,26.7
2017,Saskatchewan,50 to 64 years,Both sexes,28.4
2018,Saskatchewan,50 to 64 years,Both sexes,
2019,Saskatchewan,50 to 64 years,Both sexes,24.5
2015,Saskatchewan,50 to 64 years,Hommes,19.2
2016,Saskatchewan,50 to 64 years,Hommes,14.4
2017,Saskatchewan,50 to 64 years,Hommes,21.1
2018,Saskatchewan,50 to 64 years,Hommes,
2019,Saskatchewan,50 to 64 years,Hommes,15.9
2015,Saskatchewan,50 to 64 years,Femmes,41.9
2016,Saskatchewan,50 to 64 years,Femmes,39.5
2017,Saskatchewan,50 to 64 years,Femmes,36.2
2018,Saskatchewan,50 to 64 years,Femmes,
2019,Saskatchewan,50 to 64 years,Femmes,33.2
2015,Saskatchewan,65 ans et plus,Both sexes,31.5
2016,Saskatchewan,65 ans et plus,Both sexes,30.8
2017,Saskatchewan,65 ans et plus,Both sexes,24.7
2018,Saskatchewan,65 ans et plus,Both sexes,
2019,Saskatchewan,65 ans et plus,Both sexes,27.2
2015,Saskatchewan,65 ans et plus,Hommes,26.4
2016,Saskatchewan,65 ans et plus,Hommes,20.8
2017,Saskatchewan,65 ans et plus,Hommes,18.5
2018,Saskatchewan,65 ans et plus,Hommes,
2019,Saskatchewan,65 ans et plus,Hommes,18.2
2015,Saskatchewan,65 ans et plus,Femmes,36.1
2016,Saskatchewan,65 ans et plus,Femmes,39.8
2017,Saskatchewan,65 ans et plus,Femmes,30.0
2018,Saskatchewan,65 ans et plus,Femmes,
2019,Saskatchewan,65 ans et plus,Femmes,34.9
2015,Alberta,Total 12 years and over,Both sexes,32.1
2016,Alberta,Total 12 years and over,Both sexes,27.9
2017,Alberta,Total 12 years and over,Both sexes,27.4
2018,Alberta,Total 12 years and over,Both sexes,
2019,Alberta,Total 12 years and over,Both sexes,26.6
2015,Alberta,Total 12 years and over,Hommes,25.6
2016,Alberta,Total 12 years and over,Hommes,19.8
2017,Alberta,Total 12 years and over,Hommes,21.4
2018,Alberta,Total 12 years and over,Hommes,
2019,Alberta,Total 12 years and over,Hommes,20.3
2015,Alberta,Total 12 years and over,Femmes,38.8
2016,Alberta,Total 12 years and over,Femmes,36.1
2017,Alberta,Total 12 years and over,Femmes,33.5
2018,Alberta,Total 12 years and over,Femmes,
2019,Alberta,Total 12 years and over,Femmes,32.9
2015,Alberta,12 to 17 years,Both sexes,33.2
2016,Alberta,12 to 17 years,Both sexes,27.3
2017,Alberta,12 to 17 years,Both sexes,25.3
2018,Alberta,12 to 17 years,Both sexes,
2019,Alberta,12 to 17 years,Both sexes,25.3
2015,Alberta,12 to 17 years,Hommes,31.7
2016,Alberta,12 to 17 years,Hommes,22.4
2017,Alberta,12 to 17 years,Hommes,21.7
2018,Alberta,12 to 17 years,Hommes,
2019,Alberta,12 to 17 years,Hommes,18.3
2015,Alberta,12 to 17 years,Femmes,34.8
2016,Alberta,12 to 17 years,Femmes,31.8
2017,Alberta,12 to 17 years,Femmes,29.1
2018,Alberta,12 to 17 years,Femmes,
2019,Alberta,12 to 17 years,Femmes,32.5
2015,Alberta,18 to 34 years,Both sexes,29.6
2016,Alberta,18 to 34 years,Both sexes,28.8
2017,Alberta,18 to 34 years,Both sexes,26.8
2018,Alberta,18 to 34 years,Both sexes,
2019,Alberta,18 to 34 years,Both sexes,24.3
2015,Alberta,18 to 34 years,Hommes,21.8
2016,Alberta,18 to 34 years,Hommes,21.7
2017,Alberta,18 to 34 years,Hommes,23.4
2018,Alberta,18 to 34 years,Hommes,
2019,Alberta,18 to 34 years,Hommes,20.7
2015,Alberta,18 to 34 years,Femmes,37.9
2016,Alberta,18 to 34 years,Femmes,36.2
2017,Alberta,18 to 34 years,Femmes,30.3
2018,Alberta,18 to 34 years,Femmes,
2019,Alberta,18 to 34 years,Femmes,27.9
2015,Alberta,35 to 49 years,Both sexes,33.0
2016,Alberta,35 to 49 years,Both sexes,29.2
2017,Alberta,35 to 49 years,Both sexes,29.7
2018,Alberta,35 to 49 years,Both sexes,
2019,Alberta,35 to 49 years,Both sexes,26.4
2015,Alberta,35 to 49 years,Hommes,28.4
2016,Alberta,35 to 49 years,Hommes,20.7
2017,Alberta,35 to 49 years,Hommes,22.7
2018,Alberta,35 to 49 years,Hommes,
2019,Alberta,35 to 49 years,Hommes,20.4
2015,Alberta,35 to 49 years,Femmes,37.9
2016,Alberta,35 to 49 years,Femmes,38.3
2017,Alberta,35 to 49 years,Femmes,37.4
2018,Alberta,35 to 49 years,Femmes,
2019,Alberta,35 to 49 years,Femmes,32.8
2015,Alberta,50 to 64 years,Both sexes,35.2
2016,Alberta,50 to 64 years,Both sexes,24.2
2017,Alberta,50 to 64 years,Both sexes,25.7
2018,Alberta,50 to 64 years,Both sexes,
2019,Alberta,50 to 64 years,Both sexes,29.5
2015,Alberta,50 to 64 years,Hommes,26.9
2016,Alberta,50 to 64 years,Hommes,15.4
2017,Alberta,50 to 64 years,Hommes,18.6
2018,Alberta,50 to 64 years,Hommes,
2019,Alberta,50 to 64 years,Hommes,21.1
2015,Alberta,50 to 64 years,Femmes,43.8
2016,Alberta,50 to 64 years,Femmes,33.5
2017,Alberta,50 to 64 years,Femmes,33.1
2018,Alberta,50 to 64 years,Femmes,
2019,Alberta,50 to 64 years,Femmes,38.2
2015,Alberta,65 ans et plus,Both sexes,30.0
2016,Alberta,65 ans et plus,Both sexes,29.9
2017,Alberta,65 ans et plus,Both sexes,28.3
2018,Alberta,65 ans et plus,Both sexes,
2019,Alberta,65 ans et plus,Both sexes,27.9
2015,Alberta,65 ans et plus,Hommes,23.2
2016,Alberta,65 ans et plus,Hommes,20.3
2017,Alberta,65 ans et plus,Hommes,18.8
2018,Alberta,65 ans et plus,Hommes,
2019,Alberta,65 ans et plus,Hommes,19.6
2015,Alberta,65 ans et plus,Femmes,35.9
2016,Alberta,65 ans et plus,Femmes,38.4
2017,Alberta,65 ans et plus,Femmes,36.3
2018,Alberta,65 ans et plus,Femmes,
2019,Alberta,65 ans et plus,Femmes,35.5
2015,Colombie-Britannique,Total 12 years and over,Both sexes,29.9
2016,Colombie-Britannique,Total 12 years and over,Both sexes,31.7
2017,Colombie-Britannique,Total 12 years and over,Both sexes,28.8
2018,Colombie-Britannique,Total 12 years and over,Both sexes,
2019,Colombie-Britannique,Total 12 years and over,Both sexes,
2015,Colombie-Britannique,Total 12 years and over,Hommes,22.4
2016,Colombie-Britannique,Total 12 years and over,Hommes,25.9
2017,Colombie-Britannique,Total 12 years and over,Hommes,21.9
2018,Colombie-Britannique,Total 12 years and over,Hommes,
2019,Colombie-Britannique,Total 12 years and over,Hommes,
2015,Colombie-Britannique,Total 12 years and over,Femmes,37.0
2016,Colombie-Britannique,Total 12 years and over,Femmes,37.4
2017,Colombie-Britannique,Total 12 years and over,Femmes,35.4
2018,Colombie-Britannique,Total 12 years and over,Femmes,
2019,Colombie-Britannique,Total 12 years and over,Femmes,
2015,Colombie-Britannique,12 to 17 years,Both sexes,28.9
2016,Colombie-Britannique,12 to 17 years,Both sexes,26.8
2017,Colombie-Britannique,12 to 17 years,Both sexes,26.9
2018,Colombie-Britannique,12 to 17 years,Both sexes,
2019,Colombie-Britannique,12 to 17 years,Both sexes,
2015,Colombie-Britannique,12 to 17 years,Hommes,29.1
2016,Colombie-Britannique,12 to 17 years,Hommes,28.8
2017,Colombie-Britannique,12 to 17 years,Hommes,23.1
2018,Colombie-Britannique,12 to 17 years,Hommes,
2019,Colombie-Britannique,12 to 17 years,Hommes,
2015,Colombie-Britannique,12 to 17 years,Femmes,28.8
2016,Colombie-Britannique,12 to 17 years,Femmes,24.9
2017,Colombie-Britannique,12 to 17 years,Femmes,30.8
2018,Colombie-Britannique,12 to 17 years,Femmes,
2019,Colombie-Britannique,12 to 17 years,Femmes,
2015,Colombie-Britannique,18 to 34 years,Both sexes,29.1
2016,Colombie-Britannique,18 to 34 years,Both sexes,36.2
2017,Colombie-Britannique,18 to 34 years,Both sexes,27.3
2018,Colombie-Britannique,18 to 34 years,Both sexes,
2019,Colombie-Britannique,18 to 34 years,Both sexes,
2015,Colombie-Britannique,18 to 34 years,Hommes,22.8
2016,Colombie-Britannique,18 to 34 years,Hommes,31.9
2017,Colombie-Britannique,18 to 34 years,Hommes,20.3
2018,Colombie-Britannique,18 to 34 years,Hommes,
2019,Colombie-Britannique,18 to 34 years,Hommes,
2015,Colombie-Britannique,18 to 34 years,Femmes,35.5
2016,Colombie-Britannique,18 to 34 years,Femmes,40.5
2017,Colombie-Britannique,18 to 34 years,Femmes,34.3
2018,Colombie-Britannique,18 to 34 years,Femmes,
2019,Colombie-Britannique,18 to 34 years,Femmes,
2015,Colombie-Britannique,35 to 49 years,Both sexes,31.6
2016,Colombie-Britannique,35 to 49 years,Both sexes,30.5
2017,Colombie-Britannique,35 to 49 years,Both sexes,32.3
2018,Colombie-Britannique,35 to 49 years,Both sexes,
2019,Colombie-Britannique,35 to 49 years,Both sexes,
2015,Colombie-Britannique,35 to 49 years,Hommes,21.7
2016,Colombie-Britannique,35 to 49 years,Hommes,23.0
2017,Colombie-Britannique,35 to 49 years,Hommes,26.1
2018,Colombie-Britannique,35 to 49 years,Hommes,
2019,Colombie-Britannique,35 to 49 years,Hommes,
2015,Colombie-Britannique,35 to 49 years,Femmes,40.4
2016,Colombie-Britannique,35 to 49 years,Femmes,37.9
2017,Colombie-Britannique,35 to 49 years,Femmes,38.1
2018,Colombie-Britannique,35 to 49 years,Femmes,
2019,Colombie-Britannique,35 to 49 years,Femmes,
2015,Colombie-Britannique,50 to 64 years,Both sexes,29.5
2016,Colombie-Britannique,50 to 64 years,Both sexes,30.4
2017,Colombie-Britannique,50 to 64 years,Both sexes,26.1
2018,Colombie-Britannique,50 to 64 years,Both sexes,
2019,Colombie-Britannique,50 to 64 years,Both sexes,
2015,Colombie-Britannique,50 to 64 years,Hommes,20.5
2016,Colombie-Britannique,50 to 64 years,Hommes,22.5
2017,Colombie-Britannique,50 to 64 years,Hommes,18.8
2018,Colombie-Britannique,50 to 64 years,Hommes,
2019,Colombie-Britannique,50 to 64 years,Hommes,
2015,Colombie-Britannique,50 to 64 years,Femmes,38.6
2016,Colombie-Britannique,50 to 64 years,Femmes,37.9
2017,Colombie-Britannique,50 to 64 years,Femmes,33.2
2018,Colombie-Britannique,50 to 64 years,Femmes,
2019,Colombie-Britannique,50 to 64 years,Femmes,
2015,Colombie-Britannique,65 ans et plus,Both sexes,29.7
2016,Colombie-Britannique,65 ans et plus,Both sexes,30.3
2017,Colombie-Britannique,65 ans et plus,Both sexes,30.8
2018,Colombie-Britannique,65 ans et plus,Both sexes,
2019,Colombie-Britannique,65 ans et plus,Both sexes,
2015,Colombie-Britannique,65 ans et plus,Hommes,23.1
2016,Colombie-Britannique,65 ans et plus,Hommes,24.1
2017,Colombie-Britannique,65 ans et plus,Hommes,22.8
2018,Colombie-Britannique,65 ans et plus,Hommes,
2019,Colombie-Britannique,65 ans et plus,Hommes,
2015,Colombie-Britannique,65 ans et plus,Femmes,35.4
2016,Colombie-Britannique,65 ans et plus,Femmes,35.9
2017,Colombie-Britannique,65 ans et plus,Femmes,37.9
