Year,data.Geography,data.Sex,data.Age group,Value
2020,data.Prince Edward Island,data.Females,data.25 to 44 years,
2015,data.Prince Edward Island,data.Females,data.45 years and over,
2016,data.Prince Edward Island,data.Females,data.45 years and over,
2017,data.Prince Edward Island,data.Females,data.45 years and over,
2018,data.Prince Edward Island,data.Females,data.45 years and over,
2019,data.Prince Edward Island,data.Females,data.45 years and over,
2020,data.Prince Edward Island,data.Females,data.45 years and over,
2015,data.Prince Edward Island,data.Females,data.25 to 54 years,
2016,data.Prince Edward Island,data.Females,data.25 to 54 years,
2017,data.Prince Edward Island,data.Females,data.25 to 54 years,
2018,data.Prince Edward Island,data.Females,data.25 to 54 years,
2019,data.Prince Edward Island,data.Females,data.25 to 54 years,
2020,data.Prince Edward Island,data.Females,data.25 to 54 years,
2015,data.Prince Edward Island,data.Females,data.55 years and over,
2016,data.Prince Edward Island,data.Females,data.55 years and over,
2017,data.Prince Edward Island,data.Females,data.55 years and over,
2018,data.Prince Edward Island,data.Females,data.55 years and over,
2019,data.Prince Edward Island,data.Females,data.55 years and over,
2020,data.Prince Edward Island,data.Females,data.55 years and over,
2015,data.Prince Edward Island,data.Females,data.55 to 64 years,
2016,data.Prince Edward Island,data.Females,data.55 to 64 years,
2017,data.Prince Edward Island,data.Females,data.55 to 64 years,
2018,data.Prince Edward Island,data.Females,data.55 to 64 years,
2019,data.Prince Edward Island,data.Females,data.55 to 64 years,
2020,data.Prince Edward Island,data.Females,data.55 to 64 years,
2015,data.Prince Edward Island,data.Females,data.65 years and over,
2016,data.Prince Edward Island,data.Females,data.65 years and over,
2017,data.Prince Edward Island,data.Females,data.65 years and over,
2018,data.Prince Edward Island,data.Females,data.65 years and over,
2019,data.Prince Edward Island,data.Females,data.65 years and over,
2020,data.Prince Edward Island,data.Females,data.65 years and over,
2015,data.Nova Scotia,data.Both sexes,data.15 years and over,0.31
2016,data.Nova Scotia,data.Both sexes,data.15 years and over,0.28
2017,data.Nova Scotia,data.Both sexes,data.15 years and over,0.26
2018,data.Nova Scotia,data.Both sexes,data.15 years and over,0.25
2019,data.Nova Scotia,data.Both sexes,data.15 years and over,0.22
2020,data.Nova Scotia,data.Both sexes,data.15 years and over,0.26
2015,data.Nova Scotia,data.Both sexes,data.15 to 24 years,0.23
2016,data.Nova Scotia,data.Both sexes,data.15 to 24 years,0.25
2017,data.Nova Scotia,data.Both sexes,data.15 to 24 years,0.2
2018,data.Nova Scotia,data.Both sexes,data.15 to 24 years,0.22
2019,data.Nova Scotia,data.Both sexes,data.15 to 24 years,0.16
2020,data.Nova Scotia,data.Both sexes,data.15 to 24 years,0.21
2015,data.Nova Scotia,data.Both sexes,data.25 years and over,0.34
2016,data.Nova Scotia,data.Both sexes,data.25 years and over,0.29
2017,data.Nova Scotia,data.Both sexes,data.25 years and over,0.29
2018,data.Nova Scotia,data.Both sexes,data.25 years and over,0.27
2019,data.Nova Scotia,data.Both sexes,data.25 years and over,0.26
2020,data.Nova Scotia,data.Both sexes,data.25 years and over,0.28
2015,data.Nova Scotia,data.Both sexes,data.25 to 44 years,0.4
2016,data.Nova Scotia,data.Both sexes,data.25 to 44 years,0.35
2017,data.Nova Scotia,data.Both sexes,data.25 to 44 years,0.35
2018,data.Nova Scotia,data.Both sexes,data.25 to 44 years,0.32
2019,data.Nova Scotia,data.Both sexes,data.25 to 44 years,0.33
2020,data.Nova Scotia,data.Both sexes,data.25 to 44 years,0.31
2015,data.Nova Scotia,data.Both sexes,data.45 years and over,0.31
2016,data.Nova Scotia,data.Both sexes,data.45 years and over,0.25
2017,data.Nova Scotia,data.Both sexes,data.45 years and over,0.25
2018,data.Nova Scotia,data.Both sexes,data.45 years and over,0.24
2019,data.Nova Scotia,data.Both sexes,data.45 years and over,0.22
2020,data.Nova Scotia,data.Both sexes,data.45 years and over,0.25
2015,data.Nova Scotia,data.Both sexes,data.25 to 54 years,0.41
2016,data.Nova Scotia,data.Both sexes,data.25 to 54 years,0.36
2017,data.Nova Scotia,data.Both sexes,data.25 to 54 years,0.37
2018,data.Nova Scotia,data.Both sexes,data.25 to 54 years,0.34
2019,data.Nova Scotia,data.Both sexes,data.25 to 54 years,0.34
2020,data.Nova Scotia,data.Both sexes,data.25 to 54 years,0.33
2015,data.Nova Scotia,data.Both sexes,data.55 years and over,
2016,data.Nova Scotia,data.Both sexes,data.55 years and over,
2017,data.Nova Scotia,data.Both sexes,data.55 years and over,
2018,data.Nova Scotia,data.Both sexes,data.55 years and over,
2019,data.Nova Scotia,data.Both sexes,data.55 years and over,
2020,data.Nova Scotia,data.Both sexes,data.55 years and over,
2015,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2016,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2017,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2018,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2019,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2020,data.Nova Scotia,data.Both sexes,data.55 to 64 years,
2015,data.Nova Scotia,data.Both sexes,data.65 years and over,
2016,data.Nova Scotia,data.Both sexes,data.65 years and over,
2017,data.Nova Scotia,data.Both sexes,data.65 years and over,
2018,data.Nova Scotia,data.Both sexes,data.65 years and over,
2019,data.Nova Scotia,data.Both sexes,data.65 years and over,
2020,data.Nova Scotia,data.Both sexes,data.65 years and over,
2015,data.Nova Scotia,data.Males,data.15 years and over,0.31
2016,data.Nova Scotia,data.Males,data.15 years and over,0.31
2017,data.Nova Scotia,data.Males,data.15 years and over,0.28
2018,data.Nova Scotia,data.Males,data.15 years and over,0.25
2019,data.Nova Scotia,data.Males,data.15 years and over,0.22
2020,data.Nova Scotia,data.Males,data.15 years and over,0.27
2015,data.Nova Scotia,data.Males,data.15 to 24 years,
2016,data.Nova Scotia,data.Males,data.15 to 24 years,
2017,data.Nova Scotia,data.Males,data.15 to 24 years,
2018,data.Nova Scotia,data.Males,data.15 to 24 years,
2019,data.Nova Scotia,data.Males,data.15 to 24 years,
2020,data.Nova Scotia,data.Males,data.15 to 24 years,
2015,data.Nova Scotia,data.Males,data.25 years and over,
2016,data.Nova Scotia,data.Males,data.25 years and over,0.34
2017,data.Nova Scotia,data.Males,data.25 years and over,0.3
2018,data.Nova Scotia,data.Males,data.25 years and over,
2019,data.Nova Scotia,data.Males,data.25 years and over,
2020,data.Nova Scotia,data.Males,data.25 years and over,0.29
2015,data.Nova Scotia,data.Males,data.25 to 44 years,
2016,data.Nova Scotia,data.Males,data.25 to 44 years,
2017,data.Nova Scotia,data.Males,data.25 to 44 years,
2018,data.Nova Scotia,data.Males,data.25 to 44 years,
2019,data.Nova Scotia,data.Males,data.25 to 44 years,
2020,data.Nova Scotia,data.Males,data.25 to 44 years,
2015,data.Nova Scotia,data.Males,data.45 years and over,
2016,data.Nova Scotia,data.Males,data.45 years and over,
2017,data.Nova Scotia,data.Males,data.45 years and over,
2018,data.Nova Scotia,data.Males,data.45 years and over,
2019,data.Nova Scotia,data.Males,data.45 years and over,
2020,data.Nova Scotia,data.Males,data.45 years and over,
2015,data.Nova Scotia,data.Males,data.25 to 54 years,
2016,data.Nova Scotia,data.Males,data.25 to 54 years,
2017,data.Nova Scotia,data.Males,data.25 to 54 years,
2018,data.Nova Scotia,data.Males,data.25 to 54 years,
2019,data.Nova Scotia,data.Males,data.25 to 54 years,
2020,data.Nova Scotia,data.Males,data.25 to 54 years,
2015,data.Nova Scotia,data.Males,data.55 years and over,
2016,data.Nova Scotia,data.Males,data.55 years and over,
2017,data.Nova Scotia,data.Males,data.55 years and over,
2018,data.Nova Scotia,data.Males,data.55 years and over,
2019,data.Nova Scotia,data.Males,data.55 years and over,
2020,data.Nova Scotia,data.Males,data.55 years and over,
2015,data.Nova Scotia,data.Males,data.55 to 64 years,
2016,data.Nova Scotia,data.Males,data.55 to 64 years,
2017,data.Nova Scotia,data.Males,data.55 to 64 years,
2018,data.Nova Scotia,data.Males,data.55 to 64 years,
2019,data.Nova Scotia,data.Males,data.55 to 64 years,
2020,data.Nova Scotia,data.Males,data.55 to 64 years,
2015,data.Nova Scotia,data.Males,data.65 years and over,
2016,data.Nova Scotia,data.Males,data.65 years and over,
2017,data.Nova Scotia,data.Males,data.65 years and over,
2018,data.Nova Scotia,data.Males,data.65 years and over,
2019,data.Nova Scotia,data.Males,data.65 years and over,
2020,data.Nova Scotia,data.Males,data.65 years and over,
2015,data.Nova Scotia,data.Females,data.15 years and over,0.3
2016,data.Nova Scotia,data.Females,data.15 years and over,0.27
2017,data.Nova Scotia,data.Females,data.15 years and over,0.25
2018,data.Nova Scotia,data.Females,data.15 years and over,0.25
2019,data.Nova Scotia,data.Females,data.15 years and over,0.22
2020,data.Nova Scotia,data.Females,data.15 years and over,0.25
2015,data.Nova Scotia,data.Females,data.15 to 24 years,
2016,data.Nova Scotia,data.Females,data.15 to 24 years,
2017,data.Nova Scotia,data.Females,data.15 to 24 years,
2018,data.Nova Scotia,data.Females,data.15 to 24 years,0.2
2019,data.Nova Scotia,data.Females,data.15 to 24 years,0.17
2020,data.Nova Scotia,data.Females,data.15 to 24 years,
2015,data.Nova Scotia,data.Females,data.25 years and over,0.35
2016,data.Nova Scotia,data.Females,data.25 years and over,0.27
2017,data.Nova Scotia,data.Females,data.25 years and over,0.28
2018,data.Nova Scotia,data.Females,data.25 years and over,0.27
2019,data.Nova Scotia,data.Females,data.25 years and over,0.25
2020,data.Nova Scotia,data.Females,data.25 years and over,0.27
2015,data.Nova Scotia,data.Females,data.25 to 44 years,
2016,data.Nova Scotia,data.Females,data.25 to 44 years,0.32
2017,data.Nova Scotia,data.Females,data.25 to 44 years,0.34
2018,data.Nova Scotia,data.Females,data.25 to 44 years,
2019,data.Nova Scotia,data.Females,data.25 to 44 years,0.3
2020,data.Nova Scotia,data.Females,data.25 to 44 years,
2015,data.Nova Scotia,data.Females,data.45 years and over,0.32
2016,data.Nova Scotia,data.Females,data.45 years and over,0.24
2017,data.Nova Scotia,data.Females,data.45 years and over,0.25
2018,data.Nova Scotia,data.Females,data.45 years and over,0.24
2019,data.Nova Scotia,data.Females,data.45 years and over,
2020,data.Nova Scotia,data.Females,data.45 years and over,
2015,data.Nova Scotia,data.Females,data.25 to 54 years,0.39
2016,data.Nova Scotia,data.Females,data.25 to 54 years,0.32
2017,data.Nova Scotia,data.Females,data.25 to 54 years,0.35
2018,data.Nova Scotia,data.Females,data.25 to 54 years,0.32
2019,data.Nova Scotia,data.Females,data.25 to 54 years,0.31
2020,data.Nova Scotia,data.Females,data.25 to 54 years,0.31
2015,data.Nova Scotia,data.Females,data.55 years and over,
2016,data.Nova Scotia,data.Females,data.55 years and over,
2017,data.Nova Scotia,data.Females,data.55 years and over,
2018,data.Nova Scotia,data.Females,data.55 years and over,
2019,data.Nova Scotia,data.Females,data.55 years and over,
2020,data.Nova Scotia,data.Females,data.55 years and over,
2015,data.Nova Scotia,data.Females,data.55 to 64 years,
2016,data.Nova Scotia,data.Females,data.55 to 64 years,
2017,data.Nova Scotia,data.Females,data.55 to 64 years,
2018,data.Nova Scotia,data.Females,data.55 to 64 years,
2019,data.Nova Scotia,data.Females,data.55 to 64 years,
2020,data.Nova Scotia,data.Females,data.55 to 64 years,
2015,data.Nova Scotia,data.Females,data.65 years and over,
2016,data.Nova Scotia,data.Females,data.65 years and over,
2017,data.Nova Scotia,data.Females,data.65 years and over,
2018,data.Nova Scotia,data.Females,data.65 years and over,
2019,data.Nova Scotia,data.Females,data.65 years and over,
2020,data.Nova Scotia,data.Females,data.65 years and over,
2015,data.New Brunswick,data.Both sexes,data.15 years and over,0.3
2016,data.New Brunswick,data.Both sexes,data.15 years and over,0.26
2017,data.New Brunswick,data.Both sexes,data.15 years and over,0.25
2018,data.New Brunswick,data.Both sexes,data.15 years and over,0.23
2019,data.New Brunswick,data.Both sexes,data.15 years and over,0.23
2020,data.New Brunswick,data.Both sexes,data.15 years and over,0.26
2015,data.New Brunswick,data.Both sexes,data.15 to 24 years,0.21
2016,data.New Brunswick,data.Both sexes,data.15 to 24 years,0.2
2017,data.New Brunswick,data.Both sexes,data.15 to 24 years,
2018,data.New Brunswick,data.Both sexes,data.15 to 24 years,0.21
2019,data.New Brunswick,data.Both sexes,data.15 to 24 years,0.21
2020,data.New Brunswick,data.Both sexes,data.15 to 24 years,
2015,data.New Brunswick,data.Both sexes,data.25 years and over,0.35
2016,data.New Brunswick,data.Both sexes,data.25 years and over,0.3
2017,data.New Brunswick,data.Both sexes,data.25 years and over,0.27
2018,data.New Brunswick,data.Both sexes,data.25 years and over,0.24
2019,data.New Brunswick,data.Both sexes,data.25 years and over,0.24
2020,data.New Brunswick,data.Both sexes,data.25 years and over,0.27
2015,data.New Brunswick,data.Both sexes,data.25 to 44 years,0.48
2016,data.New Brunswick,data.Both sexes,data.25 to 44 years,0.39
2017,data.New Brunswick,data.Both sexes,data.25 to 44 years,0.38
2018,data.New Brunswick,data.Both sexes,data.25 to 44 years,0.31
2019,data.New Brunswick,data.Both sexes,data.25 to 44 years,
2020,data.New Brunswick,data.Both sexes,data.25 to 44 years,
2015,data.New Brunswick,data.Both sexes,data.45 years and over,0.27
2016,data.New Brunswick,data.Both sexes,data.45 years and over,0.25
2017,data.New Brunswick,data.Both sexes,data.45 years and over,
2018,data.New Brunswick,data.Both sexes,data.45 years and over,0.2
2019,data.New Brunswick,data.Both sexes,data.45 years and over,0.2
2020,data.New Brunswick,data.Both sexes,data.45 years and over,0.23
2015,data.New Brunswick,data.Both sexes,data.25 to 54 years,0.45
2016,data.New Brunswick,data.Both sexes,data.25 to 54 years,0.37
2017,data.New Brunswick,data.Both sexes,data.25 to 54 years,0.38
2018,data.New Brunswick,data.Both sexes,data.25 to 54 years,0.31
2019,data.New Brunswick,data.Both sexes,data.25 to 54 years,0.32
2020,data.New Brunswick,data.Both sexes,data.25 to 54 years,0.34
2015,data.New Brunswick,data.Both sexes,data.55 years and over,
2016,data.New Brunswick,data.Both sexes,data.55 years and over,
2017,data.New Brunswick,data.Both sexes,data.55 years and over,
2018,data.New Brunswick,data.Both sexes,data.55 years and over,
2019,data.New Brunswick,data.Both sexes,data.55 years and over,
2020,data.New Brunswick,data.Both sexes,data.55 years and over,
2015,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2016,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2017,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2018,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2019,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2020,data.New Brunswick,data.Both sexes,data.55 to 64 years,
2015,data.New Brunswick,data.Both sexes,data.65 years and over,
2016,data.New Brunswick,data.Both sexes,data.65 years and over,
2017,data.New Brunswick,data.Both sexes,data.65 years and over,
2018,data.New Brunswick,data.Both sexes,data.65 years and over,
2019,data.New Brunswick,data.Both sexes,data.65 years and over,
2020,data.New Brunswick,data.Both sexes,data.65 years and over,
2015,data.New Brunswick,data.Males,data.15 years and over,0.3
2016,data.New Brunswick,data.Males,data.15 years and over,0.29
2017,data.New Brunswick,data.Males,data.15 years and over,
2018,data.New Brunswick,data.Males,data.15 years and over,0.22
2019,data.New Brunswick,data.Males,data.15 years and over,0.24
2020,data.New Brunswick,data.Males,data.15 years and over,0.27
2015,data.New Brunswick,data.Males,data.15 to 24 years,
2016,data.New Brunswick,data.Males,data.15 to 24 years,
2017,data.New Brunswick,data.Males,data.15 to 24 years,
2018,data.New Brunswick,data.Males,data.15 to 24 years,
2019,data.New Brunswick,data.Males,data.15 to 24 years,
2020,data.New Brunswick,data.Males,data.15 to 24 years,
2015,data.New Brunswick,data.Males,data.25 years and over,0.35
2016,data.New Brunswick,data.Males,data.25 years and over,
2017,data.New Brunswick,data.Males,data.25 years and over,
2018,data.New Brunswick,data.Males,data.25 years and over,
2019,data.New Brunswick,data.Males,data.25 years and over,
2020,data.New Brunswick,data.Males,data.25 years and over,
2015,data.New Brunswick,data.Males,data.25 to 44 years,
2016,data.New Brunswick,data.Males,data.25 to 44 years,
2017,data.New Brunswick,data.Males,data.25 to 44 years,
2018,data.New Brunswick,data.Males,data.25 to 44 years,
2019,data.New Brunswick,data.Males,data.25 to 44 years,
2020,data.New Brunswick,data.Males,data.25 to 44 years,
2015,data.New Brunswick,data.Males,data.45 years and over,
2016,data.New Brunswick,data.Males,data.45 years and over,
2017,data.New Brunswick,data.Males,data.45 years and over,
2018,data.New Brunswick,data.Males,data.45 years and over,
2019,data.New Brunswick,data.Males,data.45 years and over,
2020,data.New Brunswick,data.Males,data.45 years and over,
2015,data.New Brunswick,data.Males,data.25 to 54 years,
2016,data.New Brunswick,data.Males,data.25 to 54 years,
2017,data.New Brunswick,data.Males,data.25 to 54 years,
2018,data.New Brunswick,data.Males,data.25 to 54 years,
2019,data.New Brunswick,data.Males,data.25 to 54 years,
2020,data.New Brunswick,data.Males,data.25 to 54 years,
2015,data.New Brunswick,data.Males,data.55 years and over,
2016,data.New Brunswick,data.Males,data.55 years and over,
2017,data.New Brunswick,data.Males,data.55 years and over,
2018,data.New Brunswick,data.Males,data.55 years and over,
2019,data.New Brunswick,data.Males,data.55 years and over,
2020,data.New Brunswick,data.Males,data.55 years and over,
2015,data.New Brunswick,data.Males,data.55 to 64 years,
2016,data.New Brunswick,data.Males,data.55 to 64 years,
2017,data.New Brunswick,data.Males,data.55 to 64 years,
2018,data.New Brunswick,data.Males,data.55 to 64 years,
2019,data.New Brunswick,data.Males,data.55 to 64 years,
2020,data.New Brunswick,data.Males,data.55 to 64 years,
2015,data.New Brunswick,data.Males,data.65 years and over,
2016,data.New Brunswick,data.Males,data.65 years and over,
2017,data.New Brunswick,data.Males,data.65 years and over,
2018,data.New Brunswick,data.Males,data.65 years and over,
2019,data.New Brunswick,data.Males,data.65 years and over,
2020,data.New Brunswick,data.Males,data.65 years and over,
2015,data.New Brunswick,data.Females,data.15 years and over,0.3
2016,data.New Brunswick,data.Females,data.15 years and over,0.25
2017,data.New Brunswick,data.Females,data.15 years and over,0.24
2018,data.New Brunswick,data.Females,data.15 years and over,0.24
2019,data.New Brunswick,data.Females,data.15 years and over,0.22
2020,data.New Brunswick,data.Females,data.15 years and over,0.24
2015,data.New Brunswick,data.Females,data.15 to 24 years,
2016,data.New Brunswick,data.Females,data.15 to 24 years,
2017,data.New Brunswick,data.Females,data.15 to 24 years,
2018,data.New Brunswick,data.Females,data.15 to 24 years,
2019,data.New Brunswick,data.Females,data.15 to 24 years,
2020,data.New Brunswick,data.Females,data.15 to 24 years,
2015,data.New Brunswick,data.Females,data.25 years and over,0.36
2016,data.New Brunswick,data.Females,data.25 years and over,0.28
2017,data.New Brunswick,data.Females,data.25 years and over,0.26
2018,data.New Brunswick,data.Females,data.25 years and over,0.24
2019,data.New Brunswick,data.Females,data.25 years and over,0.23
2020,data.New Brunswick,data.Females,data.25 years and over,0.25
2015,data.New Brunswick,data.Females,data.25 to 44 years,0.46
2016,data.New Brunswick,data.Females,data.25 to 44 years,0.35
2017,data.New Brunswick,data.Females,data.25 to 44 years,
2018,data.New Brunswick,data.Females,data.25 to 44 years,
2019,data.New Brunswick,data.Females,data.25 to 44 years,
2020,data.New Brunswick,data.Females,data.25 to 44 years,
2015,data.New Brunswick,data.Females,data.45 years and over,0.29
2016,data.New Brunswick,data.Females,data.45 years and over,
2017,data.New Brunswick,data.Females,data.45 years and over,
2018,data.New Brunswick,data.Females,data.45 years and over,
2019,data.New Brunswick,data.Females,data.45 years and over,
2020,data.New Brunswick,data.Females,data.45 years and over,
2015,data.New Brunswick,data.Females,data.25 to 54 years,0.43
2016,data.New Brunswick,data.Females,data.25 to 54 years,0.33
2017,data.New Brunswick,data.Females,data.25 to 54 years,0.33
2018,data.New Brunswick,data.Females,data.25 to 54 years,0.31
2019,data.New Brunswick,data.Females,data.25 to 54 years,
2020,data.New Brunswick,data.Females,data.25 to 54 years,
2015,data.New Brunswick,data.Females,data.55 years and over,
2016,data.New Brunswick,data.Females,data.55 years and over,
2017,data.New Brunswick,data.Females,data.55 years and over,
2018,data.New Brunswick,data.Females,data.55 years and over,
2019,data.New Brunswick,data.Females,data.55 years and over,
2020,data.New Brunswick,data.Females,data.55 years and over,
2015,data.New Brunswick,data.Females,data.55 to 64 years,
2016,data.New Brunswick,data.Females,data.55 to 64 years,
2017,data.New Brunswick,data.Females,data.55 to 64 years,
2018,data.New Brunswick,data.Females,data.55 to 64 years,
2019,data.New Brunswick,data.Females,data.55 to 64 years,
2020,data.New Brunswick,data.Females,data.55 to 64 years,
2015,data.New Brunswick,data.Females,data.65 years and over,
2016,data.New Brunswick,data.Females,data.65 years and over,
2017,data.New Brunswick,data.Females,data.65 years and over,
2018,data.New Brunswick,data.Females,data.65 years and over,
2019,data.New Brunswick,data.Females,data.65 years and over,
2020,data.New Brunswick,data.Females,data.65 years and over,
2015,data.Quebec,data.Both sexes,data.15 years and over,0.24
2016,data.Quebec,data.Both sexes,data.15 years and over,0.22
2017,data.Quebec,data.Both sexes,data.15 years and over,0.21
2018,data.Quebec,data.Both sexes,data.15 years and over,0.18
2019,data.Quebec,data.Both sexes,data.15 years and over,0.13
2020,data.Quebec,data.Both sexes,data.15 years and over,0.16
2015,data.Quebec,data.Both sexes,data.15 to 24 years,0.15
2016,data.Quebec,data.Both sexes,data.15 to 24 years,0.13
2017,data.Quebec,data.Both sexes,data.15 to 24 years,0.11
2018,data.Quebec,data.Both sexes,data.15 to 24 years,0.1
2019,data.Quebec,data.Both sexes,data.15 to 24 years,0.07
2020,data.Quebec,data.Both sexes,data.15 to 24 years,0.09
2015,data.Quebec,data.Both sexes,data.25 years and over,0.31
2016,data.Quebec,data.Both sexes,data.25 years and over,0.27
2017,data.Quebec,data.Both sexes,data.25 years and over,0.26
2018,data.Quebec,data.Both sexes,data.25 years and over,0.23
2019,data.Quebec,data.Both sexes,data.25 years and over,0.17
2020,data.Quebec,data.Both sexes,data.25 years and over,0.21
2015,data.Quebec,data.Both sexes,data.25 to 44 years,0.38
2016,data.Quebec,data.Both sexes,data.25 to 44 years,0.34
2017,data.Quebec,data.Both sexes,data.25 to 44 years,0.34
2018,data.Quebec,data.Both sexes,data.25 to 44 years,0.29
2019,data.Quebec,data.Both sexes,data.25 to 44 years,0.22
2020,data.Quebec,data.Both sexes,data.25 to 44 years,0.25
2015,data.Quebec,data.Both sexes,data.45 years and over,0.25
2016,data.Quebec,data.Both sexes,data.45 years and over,0.23
2017,data.Quebec,data.Both sexes,data.45 years and over,0.21
2018,data.Quebec,data.Both sexes,data.45 years and over,0.18
2019,data.Quebec,data.Both sexes,data.45 years and over,0.14
2020,data.Quebec,data.Both sexes,data.45 years and over,0.18
2015,data.Quebec,data.Both sexes,data.25 to 54 years,0.38
2016,data.Quebec,data.Both sexes,data.25 to 54 years,0.34
2017,data.Quebec,data.Both sexes,data.25 to 54 years,0.33
2018,data.Quebec,data.Both sexes,data.25 to 54 years,0.29
2019,data.Quebec,data.Both sexes,data.25 to 54 years,0.23
2020,data.Quebec,data.Both sexes,data.25 to 54 years,0.26
2015,data.Quebec,data.Both sexes,data.55 years and over,0.18
2016,data.Quebec,data.Both sexes,data.55 years and over,0.16
2017,data.Quebec,data.Both sexes,data.55 years and over,0.15
2018,data.Quebec,data.Both sexes,data.55 years and over,0.13
2019,data.Quebec,data.Both sexes,data.55 years and over,
2020,data.Quebec,data.Both sexes,data.55 years and over,0.13
2015,data.Quebec,data.Both sexes,data.55 to 64 years,0.24
2016,data.Quebec,data.Both sexes,data.55 to 64 years,0.22
2017,data.Quebec,data.Both sexes,data.55 to 64 years,0.21
2018,data.Quebec,data.Both sexes,data.55 to 64 years,0.16
2019,data.Quebec,data.Both sexes,data.55 to 64 years,
2020,data.Quebec,data.Both sexes,data.55 to 64 years,0.17
2015,data.Quebec,data.Both sexes,data.65 years and over,
2016,data.Quebec,data.Both sexes,data.65 years and over,
2017,data.Quebec,data.Both sexes,data.65 years and over,
2018,data.Quebec,data.Both sexes,data.65 years and over,
2019,data.Quebec,data.Both sexes,data.65 years and over,
2020,data.Quebec,data.Both sexes,data.65 years and over,
2015,data.Quebec,data.Males,data.15 years and over,0.26
2016,data.Quebec,data.Males,data.15 years and over,0.24
2017,data.Quebec,data.Males,data.15 years and over,0.22
2018,data.Quebec,data.Males,data.15 years and over,0.18
2019,data.Quebec,data.Males,data.15 years and over,0.14
2020,data.Quebec,data.Males,data.15 years and over,0.18
2015,data.Quebec,data.Males,data.15 to 24 years,0.17
2016,data.Quebec,data.Males,data.15 to 24 years,0.14
2017,data.Quebec,data.Males,data.15 to 24 years,0.13
2018,data.Quebec,data.Males,data.15 to 24 years,0.09
2019,data.Quebec,data.Males,data.15 to 24 years,
2020,data.Quebec,data.Males,data.15 to 24 years,
2015,data.Quebec,data.Males,data.25 years and over,0.33
2016,data.Quebec,data.Males,data.25 years and over,0.31
2017,data.Quebec,data.Males,data.25 years and over,0.29
2018,data.Quebec,data.Males,data.25 years and over,0.24
2019,data.Quebec,data.Males,data.25 years and over,0.18
2020,data.Quebec,data.Males,data.25 years and over,0.25
2015,data.Quebec,data.Males,data.25 to 44 years,0.44
2016,data.Quebec,data.Males,data.25 to 44 years,0.43
2017,data.Quebec,data.Males,data.25 to 44 years,0.43
2018,data.Quebec,data.Males,data.25 to 44 years,0.35
2019,data.Quebec,data.Males,data.25 to 44 years,0.26
2020,data.Quebec,data.Males,data.25 to 44 years,0.33
2015,data.Quebec,data.Males,data.45 years and over,0.25
2016,data.Quebec,data.Males,data.45 years and over,0.24
2017,data.Quebec,data.Males,data.45 years and over,0.21
2018,data.Quebec,data.Males,data.45 years and over,0.19
2019,data.Quebec,data.Males,data.45 years and over,
2020,data.Quebec,data.Males,data.45 years and over,
2015,data.Quebec,data.Males,data.25 to 54 years,0.45
2016,data.Quebec,data.Males,data.25 to 54 years,0.43
2017,data.Quebec,data.Males,data.25 to 54 years,0.42
2018,data.Quebec,data.Males,data.25 to 54 years,0.36
2019,data.Quebec,data.Males,data.25 to 54 years,0.27
2020,data.Quebec,data.Males,data.25 to 54 years,0.35
2015,data.Quebec,data.Males,data.55 years and over,
2016,data.Quebec,data.Males,data.55 years and over,
2017,data.Quebec,data.Males,data.55 years and over,0.15
2018,data.Quebec,data.Males,data.55 years and over,0.14
2019,data.Quebec,data.Males,data.55 years and over,
2020,data.Quebec,data.Males,data.55 years and over,
2015,data.Quebec,data.Males,data.55 to 64 years,
2016,data.Quebec,data.Males,data.55 to 64 years,
2017,data.Quebec,data.Males,data.55 to 64 years,0.24
2018,data.Quebec,data.Males,data.55 to 64 years,
2019,data.Quebec,data.Males,data.55 to 64 years,
2020,data.Quebec,data.Males,data.55 to 64 years,
2015,data.Quebec,data.Males,data.65 years and over,
2016,data.Quebec,data.Males,data.65 years and over,
2017,data.Quebec,data.Males,data.65 years and over,
2018,data.Quebec,data.Males,data.65 years and over,
2019,data.Quebec,data.Males,data.65 years and over,
2020,data.Quebec,data.Males,data.65 years and over,
2015,data.Quebec,data.Females,data.15 years and over,0.24
2016,data.Quebec,data.Females,data.15 years and over,0.21
2017,data.Quebec,data.Females,data.15 years and over,0.2
2018,data.Quebec,data.Females,data.15 years and over,0.18
2019,data.Quebec,data.Females,data.15 years and over,0.13
2020,data.Quebec,data.Females,data.15 years and over,0.15
2015,data.Quebec,data.Females,data.15 to 24 years,0.13
2016,data.Quebec,data.Females,data.15 to 24 years,0.13
2017,data.Quebec,data.Females,data.15 to 24 years,0.1
2018,data.Quebec,data.Females,data.15 to 24 years,0.1
2019,data.Quebec,data.Females,data.15 to 24 years,
2020,data.Quebec,data.Females,data.15 to 24 years,
2015,data.Quebec,data.Females,data.25 years and over,0.3
2016,data.Quebec,data.Females,data.25 years and over,0.26
