Year,Geography,data.Offences,data.Age of accused,data.Sex of accused,Value
2016/2017,Prince Edward Island,data.Crimes against the person,25 to 34 years,Females,51.0
2017/2018,Prince Edward Island,data.Crimes against the person,25 to 34 years,Females,76.0
2018/2019,Prince Edward Island,data.Crimes against the person,25 to 34 years,Females,30.0
2014/2015,Prince Edward Island,data.Crimes against the person,25 to 34 years,data.Sex unknown,42.0
2015/2016,Prince Edward Island,data.Crimes against the person,25 to 34 years,data.Sex unknown,53.0
2016/2017,Prince Edward Island,data.Crimes against the person,25 to 34 years,data.Sex unknown,43.0
2017/2018,Prince Edward Island,data.Crimes against the person,25 to 34 years,data.Sex unknown,37.0
2018/2019,Prince Edward Island,data.Crimes against the person,25 to 34 years,data.Sex unknown,34.0
2014/2015,Prince Edward Island,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,63.0
2015/2016,Prince Edward Island,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,41.0
2016/2017,Prince Edward Island,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,42.0
2017/2018,Prince Edward Island,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,50.0
2018/2019,Prince Edward Island,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,40.0
2014/2015,Prince Edward Island,data.Crimes against the person,35 to 44 years,Males,67.0
2015/2016,Prince Edward Island,data.Crimes against the person,35 to 44 years,Males,41.0
2016/2017,Prince Edward Island,data.Crimes against the person,35 to 44 years,Males,43.0
2017/2018,Prince Edward Island,data.Crimes against the person,35 to 44 years,Males,49.0
2018/2019,Prince Edward Island,data.Crimes against the person,35 to 44 years,Males,48.0
2014/2015,Prince Edward Island,data.Crimes against the person,35 to 44 years,Females,22.0
2015/2016,Prince Edward Island,data.Crimes against the person,35 to 44 years,Females,22.0
2016/2017,Prince Edward Island,data.Crimes against the person,35 to 44 years,Females,33.0
2017/2018,Prince Edward Island,data.Crimes against the person,35 to 44 years,Females,54.0
2018/2019,Prince Edward Island,data.Crimes against the person,35 to 44 years,Females,12.0
2014/2015,Prince Edward Island,data.Crimes against the person,35 to 44 years,data.Sex unknown,71.0
2015/2016,Prince Edward Island,data.Crimes against the person,35 to 44 years,data.Sex unknown,63.0
2016/2017,Prince Edward Island,data.Crimes against the person,35 to 44 years,data.Sex unknown,80.0
2017/2018,Prince Edward Island,data.Crimes against the person,35 to 44 years,data.Sex unknown,71.0
2018/2019,Prince Edward Island,data.Crimes against the person,35 to 44 years,data.Sex unknown,28.0
2014/2015,Prince Edward Island,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,40.0
2015/2016,Prince Edward Island,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,36.0
2016/2017,Prince Edward Island,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,52.0
2017/2018,Prince Edward Island,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,45.0
2018/2019,Prince Edward Island,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,49.0
2014/2015,Prince Edward Island,data.Crimes against the person,45 to 54 years,Males,53.0
2015/2016,Prince Edward Island,data.Crimes against the person,45 to 54 years,Males,33.0
2016/2017,Prince Edward Island,data.Crimes against the person,45 to 54 years,Males,50.0
2017/2018,Prince Edward Island,data.Crimes against the person,45 to 54 years,Males,43.0
2018/2019,Prince Edward Island,data.Crimes against the person,45 to 54 years,Males,50.0
2014/2015,Prince Edward Island,data.Crimes against the person,45 to 54 years,Females,36.0
2015/2016,Prince Edward Island,data.Crimes against the person,45 to 54 years,Females,50.0
2016/2017,Prince Edward Island,data.Crimes against the person,45 to 54 years,Females,65.0
2017/2018,Prince Edward Island,data.Crimes against the person,45 to 54 years,Females,48.0
2018/2019,Prince Edward Island,data.Crimes against the person,45 to 54 years,Females,24.0
2014/2015,Prince Edward Island,data.Crimes against the person,45 to 54 years,data.Sex unknown,28.0
2015/2016,Prince Edward Island,data.Crimes against the person,45 to 54 years,data.Sex unknown,36.0
2016/2017,Prince Edward Island,data.Crimes against the person,45 to 54 years,data.Sex unknown,64.0
2017/2018,Prince Edward Island,data.Crimes against the person,45 to 54 years,data.Sex unknown,68.0
2018/2019,Prince Edward Island,data.Crimes against the person,45 to 54 years,data.Sex unknown,246.0
2014/2015,Prince Edward Island,data.Crimes against the person,55 years and over,data.Total - sex of accused,61.0
2015/2016,Prince Edward Island,data.Crimes against the person,55 years and over,data.Total - sex of accused,35.0
2016/2017,Prince Edward Island,data.Crimes against the person,55 years and over,data.Total - sex of accused,74.0
2017/2018,Prince Edward Island,data.Crimes against the person,55 years and over,data.Total - sex of accused,29.0
2018/2019,Prince Edward Island,data.Crimes against the person,55 years and over,data.Total - sex of accused,57.0
2014/2015,Prince Edward Island,data.Crimes against the person,55 years and over,Males,61.0
2015/2016,Prince Edward Island,data.Crimes against the person,55 years and over,Males,30.0
2016/2017,Prince Edward Island,data.Crimes against the person,55 years and over,Males,74.0
2017/2018,Prince Edward Island,data.Crimes against the person,55 years and over,Males,36.0
2018/2019,Prince Edward Island,data.Crimes against the person,55 years and over,Males,50.0
2014/2015,Prince Edward Island,data.Crimes against the person,55 years and over,Females,22.0
2015/2016,Prince Edward Island,data.Crimes against the person,55 years and over,Females,117.0
2016/2017,Prince Edward Island,data.Crimes against the person,55 years and over,Females,0.0
2017/2018,Prince Edward Island,data.Crimes against the person,55 years and over,Females,12.0
2018/2019,Prince Edward Island,data.Crimes against the person,55 years and over,Females,71.0
2014/2015,Prince Edward Island,data.Crimes against the person,55 years and over,data.Sex unknown,99.0
2015/2016,Prince Edward Island,data.Crimes against the person,55 years and over,data.Sex unknown,82.0
2016/2017,Prince Edward Island,data.Crimes against the person,55 years and over,data.Sex unknown,90.0
2017/2018,Prince Edward Island,data.Crimes against the person,55 years and over,data.Sex unknown,1.0
2018/2019,Prince Edward Island,data.Crimes against the person,55 years and over,data.Sex unknown,113.0
2014/2015,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Total - sex of accused,62.0
2015/2016,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Total - sex of accused,54.0
2016/2017,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Total - sex of accused,57.0
2017/2018,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Total - sex of accused,57.0
2018/2019,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Total - sex of accused,57.0
2014/2015,Prince Edward Island,data.Crimes against property,data.Total - age of accused,Males,61.0
2015/2016,Prince Edward Island,data.Crimes against property,data.Total - age of accused,Males,51.0
2016/2017,Prince Edward Island,data.Crimes against property,data.Total - age of accused,Males,53.0
2017/2018,Prince Edward Island,data.Crimes against property,data.Total - age of accused,Males,54.0
2018/2019,Prince Edward Island,data.Crimes against property,data.Total - age of accused,Males,57.0
2014/2015,Prince Edward Island,data.Crimes against property,data.Total - age of accused,Females,64.0
2015/2016,Prince Edward Island,data.Crimes against property,data.Total - age of accused,Females,64.0
2016/2017,Prince Edward Island,data.Crimes against property,data.Total - age of accused,Females,58.0
2017/2018,Prince Edward Island,data.Crimes against property,data.Total - age of accused,Females,69.0
2018/2019,Prince Edward Island,data.Crimes against property,data.Total - age of accused,Females,58.0
2014/2015,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Company,0.0
2015/2016,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Company,0.0
2016/2017,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Company,0.0
2017/2018,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Company,0.0
2018/2019,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Company,0.0
2014/2015,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Sex unknown,74.0
2015/2016,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Sex unknown,36.0
2016/2017,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Sex unknown,68.0
2017/2018,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Sex unknown,47.0
2018/2019,Prince Edward Island,data.Crimes against property,data.Total - age of accused,data.Sex unknown,66.0
2014/2015,Prince Edward Island,data.Crimes against property,data.18 to 24 years,data.Total - sex of accused,55.0
2015/2016,Prince Edward Island,data.Crimes against property,data.18 to 24 years,data.Total - sex of accused,56.0
2016/2017,Prince Edward Island,data.Crimes against property,data.18 to 24 years,data.Total - sex of accused,61.0
2017/2018,Prince Edward Island,data.Crimes against property,data.18 to 24 years,data.Total - sex of accused,57.0
2018/2019,Prince Edward Island,data.Crimes against property,data.18 to 24 years,data.Total - sex of accused,64.0
2014/2015,Prince Edward Island,data.Crimes against property,data.18 to 24 years,Males,55.0
2015/2016,Prince Edward Island,data.Crimes against property,data.18 to 24 years,Males,48.0
2016/2017,Prince Edward Island,data.Crimes against property,data.18 to 24 years,Males,55.0
2017/2018,Prince Edward Island,data.Crimes against property,data.18 to 24 years,Males,56.0
2018/2019,Prince Edward Island,data.Crimes against property,data.18 to 24 years,Males,50.0
2014/2015,Prince Edward Island,data.Crimes against property,data.18 to 24 years,Females,53.0
2015/2016,Prince Edward Island,data.Crimes against property,data.18 to 24 years,Females,123.0
2016/2017,Prince Edward Island,data.Crimes against property,data.18 to 24 years,Females,85.0
2017/2018,Prince Edward Island,data.Crimes against property,data.18 to 24 years,Females,73.0
2018/2019,Prince Edward Island,data.Crimes against property,data.18 to 24 years,Females,86.0
2014/2015,Prince Edward Island,data.Crimes against property,data.18 to 24 years,data.Sex unknown,53.0
2015/2016,Prince Edward Island,data.Crimes against property,data.18 to 24 years,data.Sex unknown,43.0
2016/2017,Prince Edward Island,data.Crimes against property,data.18 to 24 years,data.Sex unknown,63.0
2017/2018,Prince Edward Island,data.Crimes against property,data.18 to 24 years,data.Sex unknown,56.0
2018/2019,Prince Edward Island,data.Crimes against property,data.18 to 24 years,data.Sex unknown,67.0
2014/2015,Prince Edward Island,data.Crimes against property,25 to 34 years,data.Total - sex of accused,69.0
2015/2016,Prince Edward Island,data.Crimes against property,25 to 34 years,data.Total - sex of accused,43.0
2016/2017,Prince Edward Island,data.Crimes against property,25 to 34 years,data.Total - sex of accused,50.0
2017/2018,Prince Edward Island,data.Crimes against property,25 to 34 years,data.Total - sex of accused,57.0
2018/2019,Prince Edward Island,data.Crimes against property,25 to 34 years,data.Total - sex of accused,57.0
2014/2015,Prince Edward Island,data.Crimes against property,25 to 34 years,Males,59.0
2015/2016,Prince Edward Island,data.Crimes against property,25 to 34 years,Males,44.0
2016/2017,Prince Edward Island,data.Crimes against property,25 to 34 years,Males,50.0
2017/2018,Prince Edward Island,data.Crimes against property,25 to 34 years,Males,53.0
2018/2019,Prince Edward Island,data.Crimes against property,25 to 34 years,Males,66.0
2014/2015,Prince Edward Island,data.Crimes against property,25 to 34 years,Females,89.0
2015/2016,Prince Edward Island,data.Crimes against property,25 to 34 years,Females,54.0
2016/2017,Prince Edward Island,data.Crimes against property,25 to 34 years,Females,50.0
2017/2018,Prince Edward Island,data.Crimes against property,25 to 34 years,Females,67.0
2018/2019,Prince Edward Island,data.Crimes against property,25 to 34 years,Females,33.0
2014/2015,Prince Edward Island,data.Crimes against property,25 to 34 years,data.Sex unknown,67.0
2015/2016,Prince Edward Island,data.Crimes against property,25 to 34 years,data.Sex unknown,9.0
2016/2017,Prince Edward Island,data.Crimes against property,25 to 34 years,data.Sex unknown,131.0
2017/2018,Prince Edward Island,data.Crimes against property,25 to 34 years,data.Sex unknown,162.0
2018/2019,Prince Edward Island,data.Crimes against property,25 to 34 years,data.Sex unknown,42.0
2014/2015,Prince Edward Island,data.Crimes against property,35 to 44 years,data.Total - sex of accused,71.0
2015/2016,Prince Edward Island,data.Crimes against property,35 to 44 years,data.Total - sex of accused,59.0
2016/2017,Prince Edward Island,data.Crimes against property,35 to 44 years,data.Total - sex of accused,63.0
2017/2018,Prince Edward Island,data.Crimes against property,35 to 44 years,data.Total - sex of accused,65.0
2018/2019,Prince Edward Island,data.Crimes against property,35 to 44 years,data.Total - sex of accused,69.0
2014/2015,Prince Edward Island,data.Crimes against property,35 to 44 years,Males,71.0
2015/2016,Prince Edward Island,data.Crimes against property,35 to 44 years,Males,64.0
2016/2017,Prince Edward Island,data.Crimes against property,35 to 44 years,Males,61.0
2017/2018,Prince Edward Island,data.Crimes against property,35 to 44 years,Males,62.0
2018/2019,Prince Edward Island,data.Crimes against property,35 to 44 years,Males,55.0
2014/2015,Prince Edward Island,data.Crimes against property,35 to 44 years,Females,55.0
2015/2016,Prince Edward Island,data.Crimes against property,35 to 44 years,Females,55.0
2016/2017,Prince Edward Island,data.Crimes against property,35 to 44 years,Females,75.0
2017/2018,Prince Edward Island,data.Crimes against property,35 to 44 years,Females,89.0
2018/2019,Prince Edward Island,data.Crimes against property,35 to 44 years,Females,72.0
2014/2015,Prince Edward Island,data.Crimes against property,35 to 44 years,data.Sex unknown,109.0
2015/2016,Prince Edward Island,data.Crimes against property,35 to 44 years,data.Sex unknown,34.0
2016/2017,Prince Edward Island,data.Crimes against property,35 to 44 years,data.Sex unknown,19.0
2017/2018,Prince Edward Island,data.Crimes against property,35 to 44 years,data.Sex unknown,36.0
2018/2019,Prince Edward Island,data.Crimes against property,35 to 44 years,data.Sex unknown,44.0
2014/2015,Prince Edward Island,data.Crimes against property,45 to 54 years,data.Total - sex of accused,91.0
2015/2016,Prince Edward Island,data.Crimes against property,45 to 54 years,data.Total - sex of accused,51.0
2016/2017,Prince Edward Island,data.Crimes against property,45 to 54 years,data.Total - sex of accused,50.0
2017/2018,Prince Edward Island,data.Crimes against property,45 to 54 years,data.Total - sex of accused,35.0
2018/2019,Prince Edward Island,data.Crimes against property,45 to 54 years,data.Total - sex of accused,57.0
2014/2015,Prince Edward Island,data.Crimes against property,45 to 54 years,Males,87.0
2015/2016,Prince Edward Island,data.Crimes against property,45 to 54 years,Males,51.0
2016/2017,Prince Edward Island,data.Crimes against property,45 to 54 years,Males,42.0
2017/2018,Prince Edward Island,data.Crimes against property,45 to 54 years,Males,33.0
2018/2019,Prince Edward Island,data.Crimes against property,45 to 54 years,Males,57.0
2014/2015,Prince Edward Island,data.Crimes against property,45 to 54 years,Females,106.0
2015/2016,Prince Edward Island,data.Crimes against property,45 to 54 years,Females,36.0
2016/2017,Prince Edward Island,data.Crimes against property,45 to 54 years,Females,47.0
2017/2018,Prince Edward Island,data.Crimes against property,45 to 54 years,Females,36.0
2018/2019,Prince Edward Island,data.Crimes against property,45 to 54 years,Females,51.0
2014/2015,Prince Edward Island,data.Crimes against property,45 to 54 years,data.Sex unknown,108.0
2015/2016,Prince Edward Island,data.Crimes against property,45 to 54 years,data.Sex unknown,148.0
2016/2017,Prince Edward Island,data.Crimes against property,45 to 54 years,data.Sex unknown,92.0
2017/2018,Prince Edward Island,data.Crimes against property,45 to 54 years,data.Sex unknown,24.0
2018/2019,Prince Edward Island,data.Crimes against property,45 to 54 years,data.Sex unknown,114.0
2014/2015,Prince Edward Island,data.Crimes against property,55 years and over,data.Total - sex of accused,56.0
2015/2016,Prince Edward Island,data.Crimes against property,55 years and over,data.Total - sex of accused,57.0
2016/2017,Prince Edward Island,data.Crimes against property,55 years and over,data.Total - sex of accused,65.0
2017/2018,Prince Edward Island,data.Crimes against property,55 years and over,data.Total - sex of accused,50.0
2018/2019,Prince Edward Island,data.Crimes against property,55 years and over,data.Total - sex of accused,43.0
2014/2015,Prince Edward Island,data.Crimes against property,55 years and over,Males,36.0
2015/2016,Prince Edward Island,data.Crimes against property,55 years and over,Males,57.0
2016/2017,Prince Edward Island,data.Crimes against property,55 years and over,Males,65.0
2017/2018,Prince Edward Island,data.Crimes against property,55 years and over,Males,43.0
2018/2019,Prince Edward Island,data.Crimes against property,55 years and over,Males,47.0
2014/2015,Prince Edward Island,data.Crimes against property,55 years and over,Females,68.0
2015/2016,Prince Edward Island,data.Crimes against property,55 years and over,Females,22.0
2016/2017,Prince Edward Island,data.Crimes against property,55 years and over,Females,74.0
2017/2018,Prince Edward Island,data.Crimes against property,55 years and over,Females,50.0
2018/2019,Prince Edward Island,data.Crimes against property,55 years and over,Females,43.0
2014/2015,Prince Edward Island,data.Crimes against property,55 years and over,data.Sex unknown,56.0
2015/2016,Prince Edward Island,data.Crimes against property,55 years and over,data.Sex unknown,71.0
2016/2017,Prince Edward Island,data.Crimes against property,55 years and over,data.Sex unknown,0.0
2017/2018,Prince Edward Island,data.Crimes against property,55 years and over,data.Sex unknown,127.0
2018/2019,Prince Edward Island,data.Crimes against property,55 years and over,data.Sex unknown,1.0
2014/2015,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Total - sex of accused,47.0
2015/2016,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Total - sex of accused,42.0
2016/2017,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Total - sex of accused,36.0
2017/2018,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Total - sex of accused,43.0
2018/2019,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Total - sex of accused,38.0
2014/2015,Prince Edward Island,data.Administration of justice,data.Total - age of accused,Males,42.0
2015/2016,Prince Edward Island,data.Administration of justice,data.Total - age of accused,Males,38.0
2016/2017,Prince Edward Island,data.Administration of justice,data.Total - age of accused,Males,36.0
2017/2018,Prince Edward Island,data.Administration of justice,data.Total - age of accused,Males,43.0
2018/2019,Prince Edward Island,data.Administration of justice,data.Total - age of accused,Males,36.0
2014/2015,Prince Edward Island,data.Administration of justice,data.Total - age of accused,Females,69.0
2015/2016,Prince Edward Island,data.Administration of justice,data.Total - age of accused,Females,56.0
2016/2017,Prince Edward Island,data.Administration of justice,data.Total - age of accused,Females,36.0
2017/2018,Prince Edward Island,data.Administration of justice,data.Total - age of accused,Females,52.0
2018/2019,Prince Edward Island,data.Administration of justice,data.Total - age of accused,Females,51.0
2014/2015,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Company,0.0
2015/2016,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Company,0.0
2016/2017,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Company,0.0
2017/2018,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Company,0.0
2018/2019,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Company,0.0
2014/2015,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Sex unknown,1.0
2015/2016,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Sex unknown,43.0
2016/2017,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Sex unknown,70.0
2017/2018,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Sex unknown,50.0
2018/2019,Prince Edward Island,data.Administration of justice,data.Total - age of accused,data.Sex unknown,37.0
2014/2015,Prince Edward Island,data.Administration of justice,data.18 to 24 years,data.Total - sex of accused,47.0
2015/2016,Prince Edward Island,data.Administration of justice,data.18 to 24 years,data.Total - sex of accused,43.0
2016/2017,Prince Edward Island,data.Administration of justice,data.18 to 24 years,data.Total - sex of accused,43.0
2017/2018,Prince Edward Island,data.Administration of justice,data.18 to 24 years,data.Total - sex of accused,36.0
2018/2019,Prince Edward Island,data.Administration of justice,data.18 to 24 years,data.Total - sex of accused,71.0
2014/2015,Prince Edward Island,data.Administration of justice,data.18 to 24 years,Males,36.0
2015/2016,Prince Edward Island,data.Administration of justice,data.18 to 24 years,Males,36.0
2016/2017,Prince Edward Island,data.Administration of justice,data.18 to 24 years,Males,44.0
2017/2018,Prince Edward Island,data.Administration of justice,data.18 to 24 years,Males,17.0
2018/2019,Prince Edward Island,data.Administration of justice,data.18 to 24 years,Males,71.0
2014/2015,Prince Edward Island,data.Administration of justice,data.18 to 24 years,Females,68.0
2015/2016,Prince Edward Island,data.Administration of justice,data.18 to 24 years,Females,103.0
2016/2017,Prince Edward Island,data.Administration of justice,data.18 to 24 years,Females,29.0
2017/2018,Prince Edward Island,data.Administration of justice,data.18 to 24 years,Females,91.0
2018/2019,Prince Edward Island,data.Administration of justice,data.18 to 24 years,Females,84.0
2014/2015,Prince Edward Island,data.Administration of justice,data.18 to 24 years,data.Sex unknown,0.0
2015/2016,Prince Edward Island,data.Administration of justice,data.18 to 24 years,data.Sex unknown,40.0
2016/2017,Prince Edward Island,data.Administration of justice,data.18 to 24 years,data.Sex unknown,78.0
2017/2018,Prince Edward Island,data.Administration of justice,data.18 to 24 years,data.Sex unknown,50.0
2018/2019,Prince Edward Island,data.Administration of justice,data.18 to 24 years,data.Sex unknown,71.0
2014/2015,Prince Edward Island,data.Administration of justice,25 to 34 years,data.Total - sex of accused,49.0
2015/2016,Prince Edward Island,data.Administration of justice,25 to 34 years,data.Total - sex of accused,42.0
2016/2017,Prince Edward Island,data.Administration of justice,25 to 34 years,data.Total - sex of accused,36.0
2017/2018,Prince Edward Island,data.Administration of justice,25 to 34 years,data.Total - sex of accused,42.0
2018/2019,Prince Edward Island,data.Administration of justice,25 to 34 years,data.Total - sex of accused,29.0
2014/2015,Prince Edward Island,data.Administration of justice,25 to 34 years,Males,50.0
2015/2016,Prince Edward Island,data.Administration of justice,25 to 34 years,Males,43.0
2016/2017,Prince Edward Island,data.Administration of justice,25 to 34 years,Males,40.0
2017/2018,Prince Edward Island,data.Administration of justice,25 to 34 years,Males,43.0
2018/2019,Prince Edward Island,data.Administration of justice,25 to 34 years,Males,29.0
2014/2015,Prince Edward Island,data.Administration of justice,25 to 34 years,Females,49.0
2015/2016,Prince Edward Island,data.Administration of justice,25 to 34 years,Females,34.0
2016/2017,Prince Edward Island,data.Administration of justice,25 to 34 years,Females,23.0
2017/2018,Prince Edward Island,data.Administration of justice,25 to 34 years,Females,36.0
2018/2019,Prince Edward Island,data.Administration of justice,25 to 34 years,Females,8.0
2014/2015,Prince Edward Island,data.Administration of justice,25 to 34 years,data.Sex unknown,1.0
2015/2016,Prince Edward Island,data.Administration of justice,25 to 34 years,data.Sex unknown,1.0
2016/2017,Prince Edward Island,data.Administration of justice,25 to 34 years,data.Sex unknown,54.0
2017/2018,Prince Edward Island,data.Administration of justice,25 to 34 years,data.Sex unknown,15.0
2018/2019,Prince Edward Island,data.Administration of justice,25 to 34 years,data.Sex unknown,22.0
2014/2015,Prince Edward Island,data.Administration of justice,35 to 44 years,data.Total - sex of accused,58.0
2015/2016,Prince Edward Island,data.Administration of justice,35 to 44 years,data.Total - sex of accused,43.0
2016/2017,Prince Edward Island,data.Administration of justice,35 to 44 years,data.Total - sex of accused,46.0
2017/2018,Prince Edward Island,data.Administration of justice,35 to 44 years,data.Total - sex of accused,50.0
2018/2019,Prince Edward Island,data.Administration of justice,35 to 44 years,data.Total - sex of accused,50.0
2014/2015,Prince Edward Island,data.Administration of justice,35 to 44 years,Males,54.0
2015/2016,Prince Edward Island,data.Administration of justice,35 to 44 years,Males,50.0
2016/2017,Prince Edward Island,data.Administration of justice,35 to 44 years,Males,36.0
2017/2018,Prince Edward Island,data.Administration of justice,35 to 44 years,Males,50.0
2018/2019,Prince Edward Island,data.Administration of justice,35 to 44 years,Males,47.0
2014/2015,Prince Edward Island,data.Administration of justice,35 to 44 years,Females,67.0
2015/2016,Prince Edward Island,data.Administration of justice,35 to 44 years,Females,33.0
2016/2017,Prince Edward Island,data.Administration of justice,35 to 44 years,Females,56.0
2017/2018,Prince Edward Island,data.Administration of justice,35 to 44 years,Females,16.0
2018/2019,Prince Edward Island,data.Administration of justice,35 to 44 years,Females,62.0
2014/2015,Prince Edward Island,data.Administration of justice,35 to 44 years,data.Sex unknown,36.0
2015/2016,Prince Edward Island,data.Administration of justice,35 to 44 years,data.Sex unknown,0.0
2016/2017,Prince Edward Island,data.Administration of justice,35 to 44 years,data.Sex unknown,70.0
2017/2018,Prince Edward Island,data.Administration of justice,35 to 44 years,data.Sex unknown,1.0
2018/2019,Prince Edward Island,data.Administration of justice,35 to 44 years,data.Sex unknown,280.0
2014/2015,Prince Edward Island,data.Administration of justice,45 to 54 years,data.Total - sex of accused,16.0
2015/2016,Prince Edward Island,data.Administration of justice,45 to 54 years,data.Total - sex of accused,36.0
2016/2017,Prince Edward Island,data.Administration of justice,45 to 54 years,data.Total - sex of accused,21.0
2017/2018,Prince Edward Island,data.Administration of justice,45 to 54 years,data.Total - sex of accused,52.0
2018/2019,Prince Edward Island,data.Administration of justice,45 to 54 years,data.Total - sex of accused,21.0
2014/2015,Prince Edward Island,data.Administration of justice,45 to 54 years,Males,21.0
2015/2016,Prince Edward Island,data.Administration of justice,45 to 54 years,Males,17.0
2016/2017,Prince Edward Island,data.Administration of justice,45 to 54 years,Males,17.0
2017/2018,Prince Edward Island,data.Administration of justice,45 to 54 years,Males,45.0
2018/2019,Prince Edward Island,data.Administration of justice,45 to 54 years,Males,21.0
2014/2015,Prince Edward Island,data.Administration of justice,45 to 54 years,Females,57.0
2015/2016,Prince Edward Island,data.Administration of justice,45 to 54 years,Females,85.0
2016/2017,Prince Edward Island,data.Administration of justice,45 to 54 years,Females,22.0
2017/2018,Prince Edward Island,data.Administration of justice,45 to 54 years,Females,56.0
2018/2019,Prince Edward Island,data.Administration of justice,45 to 54 years,Females,66.0
2014/2015,Prince Edward Island,data.Administration of justice,45 to 54 years,data.Sex unknown,5.0
2015/2016,Prince Edward Island,data.Administration of justice,45 to 54 years,data.Sex unknown,54.0
2016/2017,Prince Edward Island,data.Administration of justice,45 to 54 years,data.Sex unknown,0.0
2017/2018,Prince Edward Island,data.Administration of justice,45 to 54 years,data.Sex unknown,0.0
2018/2019,Prince Edward Island,data.Administration of justice,45 to 54 years,data.Sex unknown,0.0
2014/2015,Prince Edward Island,data.Administration of justice,55 years and over,data.Total - sex of accused,36.0
2015/2016,Prince Edward Island,data.Administration of justice,55 years and over,data.Total - sex of accused,29.0
2016/2017,Prince Edward Island,data.Administration of justice,55 years and over,data.Total - sex of accused,34.0
2017/2018,Prince Edward Island,data.Administration of justice,55 years and over,data.Total - sex of accused,56.0
2018/2019,Prince Edward Island,data.Administration of justice,55 years and over,data.Total - sex of accused,24.0
2014/2015,Prince Edward Island,data.Administration of justice,55 years and over,Males,29.0
2015/2016,Prince Edward Island,data.Administration of justice,55 years and over,Males,19.0
2016/2017,Prince Edward Island,data.Administration of justice,55 years and over,Males,33.0
2017/2018,Prince Edward Island,data.Administration of justice,55 years and over,Males,61.0
2018/2019,Prince Edward Island,data.Administration of justice,55 years and over,Males,20.0
2014/2015,Prince Edward Island,data.Administration of justice,55 years and over,Females,88.0
2015/2016,Prince Edward Island,data.Administration of justice,55 years and over,Females,188.0
2016/2017,Prince Edward Island,data.Administration of justice,55 years and over,Females,48.0
2017/2018,Prince Edward Island,data.Administration of justice,55 years and over,Females,3.0
2018/2019,Prince Edward Island,data.Administration of justice,55 years and over,Females,190.0
2014/2015,Prince Edward Island,data.Administration of justice,55 years and over,data.Sex unknown,0.0
2015/2016,Prince Edward Island,data.Administration of justice,55 years and over,data.Sex unknown,0.0
2016/2017,Prince Edward Island,data.Administration of justice,55 years and over,data.Sex unknown,0.0
2017/2018,Prince Edward Island,data.Administration of justice,55 years and over,data.Sex unknown,0.0
2018/2019,Prince Edward Island,data.Administration of justice,55 years and over,data.Sex unknown,39.0
2014/2015,Prince Edward Island,data.Criminal Code traffic,data.Total - age of accused,data.Total - sex of accused,8.0
2015/2016,Prince Edward Island,data.Criminal Code traffic,data.Total - age of accused,data.Total - sex of accused,15.0
2016/2017,Prince Edward Island,data.Criminal Code traffic,data.Total - age of accused,data.Total - sex of accused,15.0
2017/2018,Prince Edward Island,data.Criminal Code traffic,data.Total - age of accused,data.Total - sex of accused,19.0
2018/2019,Prince Edward Island,data.Criminal Code traffic,data.Total - age of accused,data.Total - sex of accused,15.0
2014/2015,Prince Edward Island,data.Criminal Code traffic,data.Total - age of accused,Males,8.0
