Year,Geography,Activity group,Age,Sex,Value
2015,Ontario,Care of household children under 18 years,35 to 44 years,Both sexes,4.6
2015,Ontario,Care of household children under 18 years,35 to 44 years,data.Male,3.3
2015,Ontario,Care of household children under 18 years,35 to 44 years,data.Female,5.8
2015,Ontario,Care of household children under 18 years,45 to 54 years,Both sexes,1.3
2015,Ontario,Care of household children under 18 years,45 to 54 years,data.Male,1.3
2015,Ontario,Care of household children under 18 years,45 to 54 years,data.Female,1.3
2015,Ontario,Care of household children under 18 years,55 to 64 years,Both sexes,0.4
2015,Ontario,Care of household children under 18 years,55 to 64 years,data.Male,
2015,Ontario,Care of household children under 18 years,55 to 64 years,data.Female,0.4
2015,Ontario,Care of household children under 18 years,65 years and over,Both sexes,
2015,Ontario,Care of household children under 18 years,65 years and over,data.Male,
2015,Ontario,Care of household children under 18 years,65 years and over,data.Female,
2015,Ontario,Care of household adults,"Total, 15 years and over",Both sexes,
2015,Ontario,Care of household adults,"Total, 15 years and over",data.Male,
2015,Ontario,Care of household adults,"Total, 15 years and over",data.Female,
2015,Ontario,Care of household adults,15 to 24 years,Both sexes,
2015,Ontario,Care of household adults,15 to 24 years,data.Male,
2015,Ontario,Care of household adults,15 to 24 years,data.Female,0.0
2015,Ontario,Care of household adults,25 to 54 years,Both sexes,
2015,Ontario,Care of household adults,25 to 54 years,data.Male,
2015,Ontario,Care of household adults,25 to 54 years,data.Female,
2015,Ontario,Care of household adults,25 to 34 years,Both sexes,
2015,Ontario,Care of household adults,25 to 34 years,data.Male,
2015,Ontario,Care of household adults,25 to 34 years,data.Female,
2015,Ontario,Care of household adults,35 to 44 years,Both sexes,
2015,Ontario,Care of household adults,35 to 44 years,data.Male,
2015,Ontario,Care of household adults,35 to 44 years,data.Female,
2015,Ontario,Care of household adults,45 to 54 years,Both sexes,
2015,Ontario,Care of household adults,45 to 54 years,data.Male,
2015,Ontario,Care of household adults,45 to 54 years,data.Female,
2015,Ontario,Care of household adults,55 to 64 years,Both sexes,
2015,Ontario,Care of household adults,55 to 64 years,data.Male,
2015,Ontario,Care of household adults,55 to 64 years,data.Female,
2015,Ontario,Care of household adults,65 years and over,Both sexes,
2015,Ontario,Care of household adults,65 years and over,data.Male,
2015,Ontario,Care of household adults,65 years and over,data.Female,
2015,Ontario,Shopping for goods or services,"Total, 15 years and over",Both sexes,2.1
2015,Ontario,Shopping for goods or services,"Total, 15 years and over",data.Male,1.7
2015,Ontario,Shopping for goods or services,"Total, 15 years and over",data.Female,2.5
2015,Ontario,Shopping for goods or services,15 to 24 years,Both sexes,1.3
2015,Ontario,Shopping for goods or services,15 to 24 years,data.Male,0.8
2015,Ontario,Shopping for goods or services,15 to 24 years,data.Female,1.7
2015,Ontario,Shopping for goods or services,25 to 54 years,Both sexes,1.7
2015,Ontario,Shopping for goods or services,25 to 54 years,data.Male,1.3
2015,Ontario,Shopping for goods or services,25 to 54 years,data.Female,2.1
2015,Ontario,Shopping for goods or services,25 to 34 years,Both sexes,1.7
2015,Ontario,Shopping for goods or services,25 to 34 years,data.Male,1.3
2015,Ontario,Shopping for goods or services,25 to 34 years,data.Female,2.5
2015,Ontario,Shopping for goods or services,35 to 44 years,Both sexes,1.7
2015,Ontario,Shopping for goods or services,35 to 44 years,data.Male,1.7
2015,Ontario,Shopping for goods or services,35 to 44 years,data.Female,2.1
2015,Ontario,Shopping for goods or services,45 to 54 years,Both sexes,2.1
2015,Ontario,Shopping for goods or services,45 to 54 years,data.Male,1.7
2015,Ontario,Shopping for goods or services,45 to 54 years,data.Female,2.5
2015,Ontario,Shopping for goods or services,55 to 64 years,Both sexes,2.5
2015,Ontario,Shopping for goods or services,55 to 64 years,data.Male,1.7
2015,Ontario,Shopping for goods or services,55 to 64 years,data.Female,2.9
2015,Ontario,Shopping for goods or services,65 years and over,Both sexes,2.9
2015,Ontario,Shopping for goods or services,65 years and over,data.Male,2.5
2015,Ontario,Shopping for goods or services,65 years and over,data.Female,2.9
2015,Prairies,Unpaid work activities,"Total, 15 years and over",Both sexes,12.9
2015,Prairies,Unpaid work activities,"Total, 15 years and over",data.Male,10.4
2015,Prairies,Unpaid work activities,"Total, 15 years and over",data.Female,15.8
2015,Prairies,Unpaid work activities,15 to 24 years,Both sexes,6.7
2015,Prairies,Unpaid work activities,15 to 24 years,data.Male,5.0
2015,Prairies,Unpaid work activities,15 to 24 years,data.Female,8.3
2015,Prairies,Unpaid work activities,25 to 54 years,Both sexes,14.2
2015,Prairies,Unpaid work activities,25 to 54 years,data.Male,10.4
2015,Prairies,Unpaid work activities,25 to 54 years,data.Female,17.9
2015,Prairies,Unpaid work activities,25 to 34 years,Both sexes,12.5
2015,Prairies,Unpaid work activities,25 to 34 years,data.Male,7.9
2015,Prairies,Unpaid work activities,25 to 34 years,data.Female,17.5
2015,Prairies,Unpaid work activities,35 to 44 years,Both sexes,15.8
2015,Prairies,Unpaid work activities,35 to 44 years,data.Male,11.3
2015,Prairies,Unpaid work activities,35 to 44 years,data.Female,20.0
2015,Prairies,Unpaid work activities,45 to 54 years,Both sexes,14.2
2015,Prairies,Unpaid work activities,45 to 54 years,data.Male,12.1
2015,Prairies,Unpaid work activities,45 to 54 years,data.Female,16.3
2015,Prairies,Unpaid work activities,55 to 64 years,Both sexes,13.3
2015,Prairies,Unpaid work activities,55 to 64 years,data.Male,11.7
2015,Prairies,Unpaid work activities,55 to 64 years,data.Female,15.4
2015,Prairies,Unpaid work activities,65 years and over,Both sexes,16.3
2015,Prairies,Unpaid work activities,65 years and over,data.Male,15.0
2015,Prairies,Unpaid work activities,65 years and over,data.Female,17.1
2015,Prairies,Household chores,"Total, 15 years and over",Both sexes,8.8
2015,Prairies,Household chores,"Total, 15 years and over",data.Male,7.5
2015,Prairies,Household chores,"Total, 15 years and over",data.Female,10.4
2015,Prairies,Household chores,15 to 24 years,Both sexes,4.6
2015,Prairies,Household chores,15 to 24 years,data.Male,3.3
2015,Prairies,Household chores,15 to 24 years,data.Female,6.3
2015,Prairies,Household chores,25 to 54 years,Both sexes,8.8
2015,Prairies,Household chores,25 to 54 years,data.Male,7.1
2015,Prairies,Household chores,25 to 54 years,data.Female,10.4
2015,Prairies,Household chores,25 to 34 years,Both sexes,7.1
2015,Prairies,Household chores,25 to 34 years,data.Male,5.4
2015,Prairies,Household chores,25 to 34 years,data.Female,9.2
2015,Prairies,Household chores,35 to 44 years,Both sexes,8.3
2015,Prairies,Household chores,35 to 44 years,data.Male,6.3
2015,Prairies,Household chores,35 to 44 years,data.Female,10.8
2015,Prairies,Household chores,45 to 54 years,Both sexes,10.4
2015,Prairies,Household chores,45 to 54 years,data.Male,9.6
2015,Prairies,Household chores,45 to 54 years,data.Female,11.7
2015,Prairies,Household chores,55 to 64 years,Both sexes,10.0
2015,Prairies,Household chores,55 to 64 years,data.Male,9.2
2015,Prairies,Household chores,55 to 64 years,data.Female,11.3
2015,Prairies,Household chores,65 years and over,Both sexes,12.5
2015,Prairies,Household chores,65 years and over,data.Male,11.7
2015,Prairies,Household chores,65 years and over,data.Female,13.3
2015,Prairies,Care of household children under 18 years,"Total, 15 years and over",Both sexes,1.7
2015,Prairies,Care of household children under 18 years,"Total, 15 years and over",data.Male,0.8
2015,Prairies,Care of household children under 18 years,"Total, 15 years and over",data.Female,2.9
2015,Prairies,Care of household children under 18 years,15 to 24 years,Both sexes,0.4
2015,Prairies,Care of household children under 18 years,15 to 24 years,data.Male,
2015,Prairies,Care of household children under 18 years,15 to 24 years,data.Female,0.8
2015,Prairies,Care of household children under 18 years,25 to 54 years,Both sexes,3.3
2015,Prairies,Care of household children under 18 years,25 to 54 years,data.Male,1.7
2015,Prairies,Care of household children under 18 years,25 to 54 years,data.Female,5.0
2015,Prairies,Care of household children under 18 years,25 to 34 years,Both sexes,3.3
2015,Prairies,Care of household children under 18 years,25 to 34 years,data.Male,1.3
2015,Prairies,Care of household children under 18 years,25 to 34 years,data.Female,5.8
2015,Prairies,Care of household children under 18 years,35 to 44 years,Both sexes,5.0
2015,Prairies,Care of household children under 18 years,35 to 44 years,data.Male,2.9
2015,Prairies,Care of household children under 18 years,35 to 44 years,data.Female,7.1
2015,Prairies,Care of household children under 18 years,45 to 54 years,Both sexes,1.3
2015,Prairies,Care of household children under 18 years,45 to 54 years,data.Male,0.8
2015,Prairies,Care of household children under 18 years,45 to 54 years,data.Female,1.3
2015,Prairies,Care of household children under 18 years,55 to 64 years,Both sexes,
2015,Prairies,Care of household children under 18 years,55 to 64 years,data.Male,
2015,Prairies,Care of household children under 18 years,55 to 64 years,data.Female,
2015,Prairies,Care of household children under 18 years,65 years and over,Both sexes,
2015,Prairies,Care of household children under 18 years,65 years and over,data.Male,
2015,Prairies,Care of household children under 18 years,65 years and over,data.Female,
2015,Prairies,Care of household adults,"Total, 15 years and over",Both sexes,
2015,Prairies,Care of household adults,"Total, 15 years and over",data.Male,
2015,Prairies,Care of household adults,"Total, 15 years and over",data.Female,
2015,Prairies,Care of household adults,15 to 24 years,Both sexes,
2015,Prairies,Care of household adults,15 to 24 years,data.Male,
2015,Prairies,Care of household adults,15 to 24 years,data.Female,0.0
2015,Prairies,Care of household adults,25 to 54 years,Both sexes,
2015,Prairies,Care of household adults,25 to 54 years,data.Male,
2015,Prairies,Care of household adults,25 to 54 years,data.Female,
2015,Prairies,Care of household adults,25 to 34 years,Both sexes,
2015,Prairies,Care of household adults,25 to 34 years,data.Male,
2015,Prairies,Care of household adults,25 to 34 years,data.Female,
2015,Prairies,Care of household adults,35 to 44 years,Both sexes,
2015,Prairies,Care of household adults,35 to 44 years,data.Male,
2015,Prairies,Care of household adults,35 to 44 years,data.Female,
2015,Prairies,Care of household adults,45 to 54 years,Both sexes,
2015,Prairies,Care of household adults,45 to 54 years,data.Male,
2015,Prairies,Care of household adults,45 to 54 years,data.Female,
2015,Prairies,Care of household adults,55 to 64 years,Both sexes,
2015,Prairies,Care of household adults,55 to 64 years,data.Male,
2015,Prairies,Care of household adults,55 to 64 years,data.Female,
2015,Prairies,Care of household adults,65 years and over,Both sexes,
2015,Prairies,Care of household adults,65 years and over,data.Male,
2015,Prairies,Care of household adults,65 years and over,data.Female,
2015,Prairies,Shopping for goods or services,"Total, 15 years and over",Both sexes,2.1
2015,Prairies,Shopping for goods or services,"Total, 15 years and over",data.Male,1.7
2015,Prairies,Shopping for goods or services,"Total, 15 years and over",data.Female,2.1
2015,Prairies,Shopping for goods or services,15 to 24 years,Both sexes,1.3
2015,Prairies,Shopping for goods or services,15 to 24 years,data.Male,1.7
2015,Prairies,Shopping for goods or services,15 to 24 years,data.Female,0.8
2015,Prairies,Shopping for goods or services,25 to 54 years,Both sexes,1.7
2015,Prairies,Shopping for goods or services,25 to 54 years,data.Male,1.3
2015,Prairies,Shopping for goods or services,25 to 54 years,data.Female,2.1
2015,Prairies,Shopping for goods or services,25 to 34 years,Both sexes,1.7
2015,Prairies,Shopping for goods or services,25 to 34 years,data.Male,0.8
2015,Prairies,Shopping for goods or services,25 to 34 years,data.Female,2.1
2015,Prairies,Shopping for goods or services,35 to 44 years,Both sexes,2.1
2015,Prairies,Shopping for goods or services,35 to 44 years,data.Male,2.1
2015,Prairies,Shopping for goods or services,35 to 44 years,data.Female,2.1
2015,Prairies,Shopping for goods or services,45 to 54 years,Both sexes,2.1
2015,Prairies,Shopping for goods or services,45 to 54 years,data.Male,1.3
2015,Prairies,Shopping for goods or services,45 to 54 years,data.Female,2.5
2015,Prairies,Shopping for goods or services,55 to 64 years,Both sexes,2.5
2015,Prairies,Shopping for goods or services,55 to 64 years,data.Male,2.1
2015,Prairies,Shopping for goods or services,55 to 64 years,data.Female,2.5
2015,Prairies,Shopping for goods or services,65 years and over,Both sexes,2.9
2015,Prairies,Shopping for goods or services,65 years and over,data.Male,2.9
2015,Prairies,Shopping for goods or services,65 years and over,data.Female,2.9
2015,British Columbia,Unpaid work activities,"Total, 15 years and over",Both sexes,12.5
2015,British Columbia,Unpaid work activities,"Total, 15 years and over",data.Male,10.4
2015,British Columbia,Unpaid work activities,"Total, 15 years and over",data.Female,14.2
2015,British Columbia,Unpaid work activities,15 to 24 years,Both sexes,5.4
2015,British Columbia,Unpaid work activities,15 to 24 years,data.Male,3.3
2015,British Columbia,Unpaid work activities,15 to 24 years,data.Female,7.9
2015,British Columbia,Unpaid work activities,25 to 54 years,Both sexes,13.3
2015,British Columbia,Unpaid work activities,25 to 54 years,data.Male,10.8
2015,British Columbia,Unpaid work activities,25 to 54 years,data.Female,15.4
2015,British Columbia,Unpaid work activities,25 to 34 years,Both sexes,11.3
2015,British Columbia,Unpaid work activities,25 to 34 years,data.Male,8.3
2015,British Columbia,Unpaid work activities,25 to 34 years,data.Female,14.2
2015,British Columbia,Unpaid work activities,35 to 44 years,Both sexes,13.3
2015,British Columbia,Unpaid work activities,35 to 44 years,data.Male,10.8
2015,British Columbia,Unpaid work activities,35 to 44 years,data.Female,16.3
2015,British Columbia,Unpaid work activities,45 to 54 years,Both sexes,14.6
2015,British Columbia,Unpaid work activities,45 to 54 years,data.Male,13.3
2015,British Columbia,Unpaid work activities,45 to 54 years,data.Female,16.3
2015,British Columbia,Unpaid work activities,55 to 64 years,Both sexes,13.3
2015,British Columbia,Unpaid work activities,55 to 64 years,data.Male,12.5
2015,British Columbia,Unpaid work activities,55 to 64 years,data.Female,14.6
2015,British Columbia,Unpaid work activities,65 years and over,Both sexes,15.0
2015,British Columbia,Unpaid work activities,65 years and over,data.Male,13.3
2015,British Columbia,Unpaid work activities,65 years and over,data.Female,15.8
2015,British Columbia,Household chores,"Total, 15 years and over",Both sexes,8.3
2015,British Columbia,Household chores,"Total, 15 years and over",data.Male,7.5
2015,British Columbia,Household chores,"Total, 15 years and over",data.Female,9.6
2015,British Columbia,Household chores,15 to 24 years,Both sexes,2.9
2015,British Columbia,Household chores,15 to 24 years,data.Male,2.1
2015,British Columbia,Household chores,15 to 24 years,data.Female,3.8
2015,British Columbia,Household chores,25 to 54 years,Both sexes,8.3
2015,British Columbia,Household chores,25 to 54 years,data.Male,7.1
2015,British Columbia,Household chores,25 to 54 years,data.Female,9.6
2015,British Columbia,Household chores,25 to 34 years,Both sexes,6.7
2015,British Columbia,Household chores,25 to 34 years,data.Male,5.0
2015,British Columbia,Household chores,25 to 34 years,data.Female,8.3
2015,British Columbia,Household chores,35 to 44 years,Both sexes,7.5
2015,British Columbia,Household chores,35 to 44 years,data.Male,5.8
2015,British Columbia,Household chores,35 to 44 years,data.Female,8.8
2015,British Columbia,Household chores,45 to 54 years,Both sexes,11.3
2015,British Columbia,Household chores,45 to 54 years,data.Male,10.4
2015,British Columbia,Household chores,45 to 54 years,data.Female,12.1
2015,British Columbia,Household chores,55 to 64 years,Both sexes,10.4
2015,British Columbia,Household chores,55 to 64 years,data.Male,9.6
2015,British Columbia,Household chores,55 to 64 years,data.Female,10.8
2015,British Columbia,Household chores,65 years and over,Both sexes,11.3
2015,British Columbia,Household chores,65 years and over,data.Male,10.0
2015,British Columbia,Household chores,65 years and over,data.Female,12.5
2015,British Columbia,Care of household children under 18 years,"Total, 15 years and over",Both sexes,1.3
2015,British Columbia,Care of household children under 18 years,"Total, 15 years and over",data.Male,1.3
2015,British Columbia,Care of household children under 18 years,"Total, 15 years and over",data.Female,1.7
2015,British Columbia,Care of household children under 18 years,15 to 24 years,Both sexes,
2015,British Columbia,Care of household children under 18 years,15 to 24 years,data.Male,0.0
2015,British Columbia,Care of household children under 18 years,15 to 24 years,data.Female,
2015,British Columbia,Care of household children under 18 years,25 to 54 years,Both sexes,2.5
2015,British Columbia,Care of household children under 18 years,25 to 54 years,data.Male,2.1
2015,British Columbia,Care of household children under 18 years,25 to 54 years,data.Female,2.9
2015,British Columbia,Care of household children under 18 years,25 to 34 years,Both sexes,2.5
2015,British Columbia,Care of household children under 18 years,25 to 34 years,data.Male,1.7
2015,British Columbia,Care of household children under 18 years,25 to 34 years,data.Female,3.3
2015,British Columbia,Care of household children under 18 years,35 to 44 years,Both sexes,4.2
2015,British Columbia,Care of household children under 18 years,35 to 44 years,data.Male,3.8
2015,British Columbia,Care of household children under 18 years,35 to 44 years,data.Female,5.0
2015,British Columbia,Care of household children under 18 years,45 to 54 years,Both sexes,1.3
2015,British Columbia,Care of household children under 18 years,45 to 54 years,data.Male,0.8
2015,British Columbia,Care of household children under 18 years,45 to 54 years,data.Female,1.3
2015,British Columbia,Care of household children under 18 years,55 to 64 years,Both sexes,
2015,British Columbia,Care of household children under 18 years,55 to 64 years,data.Male,
2015,British Columbia,Care of household children under 18 years,55 to 64 years,data.Female,
2015,British Columbia,Care of household children under 18 years,65 years and over,Both sexes,
2015,British Columbia,Care of household children under 18 years,65 years and over,data.Male,
2015,British Columbia,Care of household children under 18 years,65 years and over,data.Female,
2015,British Columbia,Care of household adults,"Total, 15 years and over",Both sexes,
2015,British Columbia,Care of household adults,"Total, 15 years and over",data.Male,
2015,British Columbia,Care of household adults,"Total, 15 years and over",data.Female,
2015,British Columbia,Care of household adults,15 to 24 years,Both sexes,
2015,British Columbia,Care of household adults,15 to 24 years,data.Male,
2015,British Columbia,Care of household adults,15 to 24 years,data.Female,0.0
2015,British Columbia,Care of household adults,25 to 54 years,Both sexes,
2015,British Columbia,Care of household adults,25 to 54 years,data.Male,
2015,British Columbia,Care of household adults,25 to 54 years,data.Female,
2015,British Columbia,Care of household adults,25 to 34 years,Both sexes,
2015,British Columbia,Care of household adults,25 to 34 years,data.Male,0.0
2015,British Columbia,Care of household adults,25 to 34 years,data.Female,
2015,British Columbia,Care of household adults,35 to 44 years,Both sexes,
2015,British Columbia,Care of household adults,35 to 44 years,data.Male,
2015,British Columbia,Care of household adults,35 to 44 years,data.Female,
2015,British Columbia,Care of household adults,45 to 54 years,Both sexes,
2015,British Columbia,Care of household adults,45 to 54 years,data.Male,
2015,British Columbia,Care of household adults,45 to 54 years,data.Female,
2015,British Columbia,Care of household adults,55 to 64 years,Both sexes,
2015,British Columbia,Care of household adults,55 to 64 years,data.Male,
2015,British Columbia,Care of household adults,55 to 64 years,data.Female,
2015,British Columbia,Care of household adults,65 years and over,Both sexes,
2015,British Columbia,Care of household adults,65 years and over,data.Male,
2015,British Columbia,Care of household adults,65 years and over,data.Female,
2015,British Columbia,Shopping for goods or services,"Total, 15 years and over",Both sexes,2.1
2015,British Columbia,Shopping for goods or services,"Total, 15 years and over",data.Male,1.7
2015,British Columbia,Shopping for goods or services,"Total, 15 years and over",data.Female,2.5
2015,British Columbia,Shopping for goods or services,15 to 24 years,Both sexes,2.5
2015,British Columbia,Shopping for goods or services,15 to 24 years,data.Male,
2015,British Columbia,Shopping for goods or services,15 to 24 years,data.Female,3.8
2015,British Columbia,Shopping for goods or services,25 to 54 years,Both sexes,1.7
2015,British Columbia,Shopping for goods or services,25 to 54 years,data.Male,1.3
2015,British Columbia,Shopping for goods or services,25 to 54 years,data.Female,2.1
2015,British Columbia,Shopping for goods or services,25 to 34 years,Both sexes,1.7
2015,British Columbia,Shopping for goods or services,25 to 34 years,data.Male,1.3
2015,British Columbia,Shopping for goods or services,25 to 34 years,data.Female,1.7
2015,British Columbia,Shopping for goods or services,35 to 44 years,Both sexes,1.7
2015,British Columbia,Shopping for goods or services,35 to 44 years,data.Male,0.8
2015,British Columbia,Shopping for goods or services,35 to 44 years,data.Female,2.1
2015,British Columbia,Shopping for goods or services,45 to 54 years,Both sexes,2.1
2015,British Columbia,Shopping for goods or services,45 to 54 years,data.Male,2.1
2015,British Columbia,Shopping for goods or services,45 to 54 years,data.Female,2.5
2015,British Columbia,Shopping for goods or services,55 to 64 years,Both sexes,2.5
2015,British Columbia,Shopping for goods or services,55 to 64 years,data.Male,2.5
2015,British Columbia,Shopping for goods or services,55 to 64 years,data.Female,2.5
2015,British Columbia,Shopping for goods or services,65 years and over,Both sexes,2.5
2015,British Columbia,Shopping for goods or services,65 years and over,data.Male,2.5
2015,British Columbia,Shopping for goods or services,65 years and over,data.Female,2.5
